ISO	Entries	Source
rus	412135	cldf
por	202893	cldf
fin	159327	cldf
pol	131008	cldf
spa	117200	cldf
eng	112201	cldf
fra	81676	cldf
ita	81110	cldf
vie	73162	cldf
lat	67332	cldf
hun	63649	cldf
deu	50196	cldf
ces	44858	cldf
bul	44230	cldf
nld	43054	cldf
ukr	40486	cldf
jpn	37611	cldf
hye	32579	cldf
hin	27939	cldf
kor	27705	cldf
cym	22646	cldf
kat	19387	cldf
tha	18585	cldf
tgl	18556	cldf
ell	16851	cldf
gle	16085	cldf
isl	11916	cldf
ben	11339	cldf
eus	10020	cldf
mal	9005	cldf
ron	8550	cldf
tur	8212	cldf
tam	7828	cldf
bel	7471	cldf
ind	7128	cldf
ady	6839	cldf
dan	6570	cldf
slv	5842	cldf
swe	5549	cldf
bcl	5356	cldf
sme	5159	cldf
tel	4173	cldf
kmr	4020	cldf
cmn	3996	cldf
dsb	3953	cldf
mnc	3837	cldf
heb	3824	cldf
hau	3677	cldf
lav	3658	cldf
slk	3598	cldf
nor	3439	cldf
kal	3364	cldf
ceb	3190	cldf
bod	2996	cldf
sqi	2899	cldf
kpv	2822	cldf
lit	2774	cldf
ket	2765	cldf
kan	2743	cldf
olo	2677	cldf
sjd	2655	cldf
kaz	2635	cldf
krl	2603	cldf
bre	2585	cldf
ote	2563	cldf
haw	2511	cldf
bua	2463	cldf
hrv	2436	cldf
liv	2382	cldf
smj	2380	cldf
evn	2368	cldf
mww	2321	cldf
khk	2304	cldf
oss	2286	cldf
cat	2247	cldf
pes	2224	cldf
kek	2188	cldf
arb	2175	cldf
plt	2164	cldf
mwo	2139	cldf
pbu	2122	cldf
dar	2111	cldf
abk	2103	cldf
mdf	2103	cldf
lbe	2096	cldf
sma	2095	cldf
chv	2094	cldf
smn	2064	cldf
crs	2059	cldf
ekk	2053	cldf
nio	2047	cldf
bak	2045	cldf
koi	2041	cldf
mrj	2036	cldf
che	2025	cldf
azj	2022	cldf
tat	2018	cldf
knc	2017	cldf
vep	1991	cldf
ckt	1986	cldf
mhr	1984	cldf
mns	1984	cldf
udm	1946	cldf
lez	1938	cldf
nms	1922	cldf
myv	1914	cldf
ava	1908	cldf
ale	1899	cldf
swh	1840	cldf
uzn	1818	cldf
niv	1791	cldf
gld	1774	cldf
sel	1772	cldf
ddo	1740	cldf
kca	1726	cldf
bsk	1704	cldf
enf	1676	cldf
tbc	1670	cldf
jav	1665	cldf
ess	1628	cldf
ykg	1625	cldf
rif	1610	cldf
yaq	1587	cldf
kap	1563	cldf
omb	1528	cldf
tay	1507	cldf
dru	1505	cldf
ivv	1496	cldf
bzg	1486	cldf
ain	1468	cldf
tzz	1452	cldf
arn	1392	cldf
upv	1387	cldf
ljp	1373	cldf
qvi	1370	cldf
xal	1351	cldf
mah	1350	cldf
nmm	1317	cldf
aqc	1316	cldf
srm	1316	cldf
mzh	1307	cldf
jup	1280	cldf
car	1268	cldf
yrk	1248	cldf
itl	1206	cldf
orh	1206	cldf
irk	1200	cldf
apb	1188	cldf
bdl	1184	cldf
mll	1180	cldf
sah	1155	cldf
sms	1141	cldf
pyu	1108	cldf
gue	1084	cldf
gwd	1044	cldf
tmb	1014	cldf
ilo	1008	cldf
brj	988	cldf
yux	985	cldf
pam	979	cldf
cwg	976	cldf
bnn	939	cldf
nwi	928	cldf
kge	901	cldf
ppu	888	cldf
fos	886	cldf
llp	875	cldf
ahb	867	cldf
lmu	845	cldf
baa	840	cldf
klv	813	cldf
urk	813	cldf
aul	790	cldf
ckv	787	cldf
iba	763	cldf
lml	761	cldf
mwi	743	cldf
sns	740	cldf
uun	740	cldf
lww	735	cldf
xbr	735	cldf
mwv	722	cldf
aty	708	cldf
vnm	702	cldf
ban	696	cldf
hil	692	cldf
trv	687	cldf
mlx	682	cldf
pwn	678	cldf
eno	669	cldf
zsm	644	cldf
ami	643	cldf
mak	634	cldf
tlr	618	cldf
mxd	617	cldf
lbw	611	cldf
mrs	603	cldf
atk	597	cldf
cal	589	cldf
chk	585	cldf
vrt	583	cldf
tnl	577	cldf
nij	567	cldf
pma	561	cldf
itv	557	cldf
tsu	555	cldf
ane	551	cldf
lzl	551	cldf
mme	549	cldf
ksd	548	cldf
app	544	cldf
tnk	544	cldf
fij	543	cldf
woe	543	cldf
yly	543	cldf
nmb	542	cldf
cir	529	cldf
tah	527	cldf
