ISO	Entries	Source
jaz	521	cldf
nmk	521	cldf
bkz	519	cldf
bnk	517	cldf
kxd	517	cldf
gri	516	cldf
snc	502	cldf
dix	497	cldf
mvt	495	cldf
pag	492	cldf
lbk	490	cldf
nak	488	cldf
mrb	481	cldf
fut	480	cldf
bpa	478	cldf
abl	477	cldf
bxa	473	cldf
mrn	472	cldf
tkl	471	cldf
sov	468	cldf
rar	464	cldf
loc	463	cldf
pgk	462	cldf
pse	460	cldf
xsy	454	cldf
akg	451	cldf
onu	450	cldf
vao	449	cldf
tao	445	cldf
faf	439	cldf
sxr	438	cldf
hnn	436	cldf
mrq	434	cldf
nsn	434	cldf
tvk	432	cldf
llu	430	cldf
xmz	425	cldf
alu	424	cldf
mrm	421	cldf
wsi	421	cldf
cam	420	cldf
mek	418	cldf
ibl	417	cldf
lpa	417	cldf
ski	417	cldf
agw	416	cldf
lrz	415	cldf
nem	415	cldf
bgt	413	cldf
bku	410	cldf
btr	408	cldf
aut	406	cldf
sgd	403	cldf
sww	402	cldf
lgr	399	cldf
ace	397	cldf
mhz	397	cldf
mlg	397	cldf
lex	394	cldf
sku	392	cldf
dob	390	cldf
ghn	390	cldf
kod	387	cldf
sax	385	cldf
tqp	385	cldf
tvl	385	cldf
lgk	384	cldf
plw	384	cldf
mri	383	cldf
ske	383	cldf
zlm	383	cldf
hvn	382	cldf
txn	382	cldf
bty	379	cldf
irh	378	cldf
mlv	378	cldf
psw	378	cldf
nur	377	cldf
sbl	377	cldf
nen	376	cldf
alp	375	cldf
dhv	374	cldf
mwh	374	cldf
mxe	374	cldf
erg	372	cldf
mnv	372	cldf
lga	370	cldf
bnf	366	cldf
mfb	366	cldf
mtt	365	cldf
xnb	364	cldf
aek	363	cldf
mte	363	cldf
pri	363	cldf
tdt	363	cldf
mlu	362	cldf
nee	362	cldf
mbq	361	cldf
iai	360	cldf
kos	359	cldf
pkp	359	cldf
aji	358	cldf
cia	358	cldf
mrl	358	cldf
xks	358	cldf
bhw	354	cldf
kvr	354	cldf
leu	354	cldf
wyy	354	cldf
wed	353	cldf
sjm	352	cldf
ify	351	cldf
myw	351	cldf
piz	351	cldf
tkw	351	cldf
mnb	349	cldf
ton	349	cldf
ues	349	cldf
war	349	cldf
rap	348	cldf
vrs	348	cldf
bbn	346	cldf
fwa	346	cldf
lmy	346	cldf
sxn	346	cldf
tdx	345	cldf
mla	344	cldf
hiw	343	cldf
hvk	343	cldf
khz	343	cldf
aia	341	cldf
mky	340	cldf
tzn	339	cldf
gil	338	cldf
gdd	334	cldf
plv	333	cldf
mbb	332	cldf
suc	332	cldf
uvl	331	cldf
tsr	330	cldf
nnd	328	cldf
sgb	328	cldf
met	327	cldf
axx	326	cldf
lif	326	cldf
msq	325	cldf
duf	324	cldf
woc	324	cldf
msn	323	cldf
erk	318	cldf
lmb	316	cldf
uli	316	cldf
asl	314	cldf
puw	314	cldf
gal	313	cldf
lid	313	cldf
sml	312	cldf
blp	311	cldf
nfl	310	cldf
pop	309	cldf
skg	308	cldf
mpr	307	cldf
nrz	306	cldf
bwd	305	cldf
ilu	304	cldf
kdk	304	cldf
abd	300	cldf
mqz	300	cldf
nal	300	cldf
sih	299	cldf
fud	298	cldf
uur	298	cldf
pnh	296	cldf
smo	296	cldf
xkl	296	cldf
mdh	294	cldf
mmw	293	cldf
tgo	292	cldf
ssz	291	cldf
och	289	cldf
tbf	288	cldf
tlx	288	cldf
ttv	288	cldf
wwo	288	cldf
rkh	287	cldf
sbe	286	cldf
tet	286	cldf
bgi	285	cldf
emi	283	cldf
stn	281	cldf
abx	279	cldf
akr	278	cldf
cha	275	cldf
wuv	274	cldf
btw	273	cldf
ssv	272	cldf
klr	269	cldf
qxs	269	cldf
txs	269	cldf
bca	268	cldf
mpx	268	cldf
lcm	267	cldf
wls	267	cldf
tnp	265	cldf
tva	265	cldf
lek	264	cldf
ilk	263	cldf
duu	262	cldf
kpg	262	cldf
pmt	262	cldf
sas	262	cldf
nxq	261	cldf
ssg	260	cldf
gvs	259	cldf
jya	259	cldf
kac	259	cldf
tbl	259	cldf
kij	258	cldf
mrv	258	cldf
msb	257	cldf
byq	256	cldf
mqn	256	cldf
pmi	255	cldf
wrp	255	cldf
yap	255	cldf
wmh	254	cldf
lbq	253	cldf
niu	253	cldf
lis	252	cldf
pon	252	cldf
tio	252	cldf
ray	251	cldf
yog	251	cldf
cgc	250	cldf
mox	250	cldf
pwg	250	cldf
nke	249	cldf
nrg	249	cldf
wlo	249	cldf
bcm	247	cldf
bcu	247	cldf
tes	246	cldf
bwa	245	cldf
alj	244	cldf
jmd	244	cldf
mrp	244	cldf
slm	244	cldf
mmg	243	cldf
nsw	243	cldf
piv	243	cldf
inn	242	cldf
rad	242	cldf
tiy	242	cldf
tkp	242	cldf
urv	242	cldf
bhp	241	cldf
obr	241	cldf
tji	241	cldf
viv	241	cldf
tdy	240	cldf
yml	240	cldf
bug	239	cldf
meu	238	cldf
nlg	238	cldf
agn	237	cldf
akb	237	cldf
akl	237	cldf
kxa	237	cldf
ppk	237	cldf
kse	236	cldf
mhs	236	cldf
gay	235	cldf
jra	235	cldf
wad	235	cldf
sbb	234	cldf
atd	233	cldf
gzn	233	cldf
swp	233	cldf
bnq	232	cldf
bpr	232	cldf
rej	232	cldf
rug	232	cldf
sne	232	cldf
bbc	231	cldf
bto	231	cldf
vmg	231	cldf
duo	230	cldf
klx	230	cldf
tih	229	cldf
krj	228	cldf
otd	228	cldf
vlp	228	cldf
yka	228	cldf
dtp	227	cldf
kmk	227	cldf
kwh	227	cldf
mqy	227	cldf
kvc	226	cldf
msk	226	cldf
dbj	225	cldf
lgu	225	cldf
ntu	225	cldf
udj	225	cldf
dul	224	cldf
emb	224	cldf
kwf	224	cldf
kzi	224	cldf
sij	224	cldf
cja	223	cldf
kne	223	cldf
lih	223	cldf
lnd	223	cldf
bek	222	cldf
bps	222	cldf
kyk	222	cldf
mog	222	cldf
nau	221	cldf
tox	221	cldf
kud	220	cldf
pmo	220	cldf
rri	220	cldf
gfk	219	cldf
mhy	219	cldf
mwt	219	cldf
txe	219	cldf
vkl	219	cldf
btx	218	cldf
min	218	cldf
mvo	218	cldf
sky	218	cldf
slp	218	cldf
aie	217	cldf
mel	217	cldf
nxg	217	cldf
rtm	217	cldf
sun	217	cldf
bzb	216	cldf
llm	216	cldf
lti	216	cldf
tsg	216	cldf
wnk	216	cldf
aud	215	cldf
bhq	215	cldf
kzs	215	cldf
kzt	215	cldf
pau	215	cldf
ill	214	cldf
knb	214	cldf
mrw	214	cldf
ssb	214	cldf
txm	214	cldf
bei	213	cldf
mad	213	cldf
smw	213	cldf
tlv	213	cldf
bzq	212	cldf
gor	212	cldf
ojv	212	cldf
pmf	212	cldf
ssf	212	cldf
vnk	212	cldf
beg	211	cldf
bjn	211	cldf
ibg	211	cldf
lgb	211	cldf
mln	211	cldf
xsi	211	cldf
jax	210	cldf
ksx	210	cldf
mee	210	cldf
rol	210	cldf
zbw	210	cldf
bkd	209	cldf
jae	209	cldf
sda	209	cldf
sew	209	cldf
atz	208	cldf
bny	208	cldf
kvv	208	cldf
lmg	208	cldf
max	207	cldf
mta	207	cldf
wiv	207	cldf
akt	206	cldf
kei	206	cldf
los	206	cldf
mvn	206	cldf
nia	206	cldf
nsy	206	cldf
tbo	206	cldf
tnt	206	cldf
aoz	205	cldf
bay	205	cldf
blf	205	cldf
bnd	205	cldf
hrw	205	cldf
nea	205	cldf
ree	205	cldf
ljl	204	cldf
mna	204	cldf
wew	204	cldf
bgz	203	cldf
bvd	203	cldf
iry	203	cldf
mva	203	cldf
amq	202	cldf
bdd	202	cldf
pss	202	cldf
rro	202	cldf
ssq	202	cldf
uge	202	cldf
bch	201	cldf
brr	201	cldf
hao	201	cldf
nkr	201	cldf
nxa	201	cldf
sge	201	cldf
sob	201	cldf
tgi	201	cldf
abs	200	cldf
att	200	cldf
bwb	200	cldf
cnh	200	cldf
kje	200	cldf
kwd	200	cldf
kzp	200	cldf
rog	200	cldf
uve	200	cldf
huq	199	cldf
mvd	199	cldf
sgz	199	cldf
bna	198	cldf
cje	198	cldf
kji	198	cldf
ple	198	cldf
tte	198	cldf
mbh	197	cldf
wow	197	cldf
bnp	196	cldf
clu	196	cldf
kzu	196	cldf
ttu	196	cldf
ges	195	cldf
gga	195	cldf
slu	195	cldf
sol	195	cldf
tjg	195	cldf
cyo	194	cldf
dor	194	cldf
ebk	194	cldf
loj	194	cldf
twu	194	cldf
bvc	193	cldf
cjm	193	cldf
dww	193	cldf
gad	193	cldf
sso	193	cldf
tpf	193	cldf
hrc	192	cldf
hul	192	cldf
ngr	192	cldf
sjr	192	cldf
tlu	192	cldf
htu	191	cldf
jaj	191	cldf
lmr	191	cldf
mmx	191	cldf
ais	190	cldf
btn	190	cldf
lgl	190	cldf
pat	190	cldf
plh	190	cldf
rai	190	cldf
tmy	190	cldf
lbx	189	cldf
mjk	189	cldf
wah	189	cldf
hoa	188	cldf
kbt	188	cldf
lbv	188	cldf
roe	188	cldf
amk	187	cldf
mgl	187	cldf
ora	187	cldf
pdo	187	cldf
tnx	187	cldf
tuc	187	cldf
bnr	186	cldf
ggt	186	cldf
ksg	186	cldf
mzq	186	cldf
skz	186	cldf
tbj	186	cldf
tgc	186	cldf
and	185	cldf
bxf	184	cldf
gmb	184	cldf
mgm	184	cldf
mpn	184	cldf
ubr	184	cldf
aua	183	cldf
bvk	183	cldf
far	183	cldf
kkk	183	cldf
tkd	183	cldf
xmt	183	cldf
fnb	182	cldf
hot	182	cldf
mbi	182	cldf
mmn	182	cldf
syb	182	cldf
utp	182	cldf
kqe	181	cldf
lib	181	cldf
ncn	181	cldf
isd	180	cldf
kml	180	cldf
mbd	180	cldf
tgt	180	cldf
zgr	180	cldf
bya	179	cldf
gei	179	cldf
itb	179	cldf
kqw	179	cldf
mbs	179	cldf
mbt	179	cldf
raz	179	cldf
snl	179	cldf
tbe	179	cldf
agv	178	cldf
blw	178	cldf
kak	178	cldf
tbk	178	cldf
agt	177	cldf
ifa	177	cldf
xnn	177	cldf
agf	176	cldf
kem	176	cldf
mmm	176	cldf
sps	176	cldf
bki	175	cldf
dgc	175	cldf
mmt	175	cldf
rnn	175	cldf
etn	174	cldf
lhn	174	cldf
nho	174	cldf
smr	174	cldf
ubl	174	cldf
vra	174	cldf
stw	173	cldf
tql	172	cldf
anx	171	cldf
ksc	171	cldf
pif	171	cldf
bxh	170	cldf
wru	170	cldf
aps	169	cldf
ifb	169	cldf
urr	169	cldf
ddi	168	cldf
nvh	168	cldf
tls	168	cldf
lkn	167	cldf
mkj	167	cldf
tgs	167	cldf
bjl	166	cldf
kvo	166	cldf
lrv	166	cldf
aui	165	cldf
avb	165	cldf
lht	165	cldf
krf	164	cldf
rpn	164	cldf
tnn	164	cldf
wab	163	cldf
nua	162	cldf
crc	161	cldf
asz	160	cldf
oyy	160	cldf
ptp	160	cldf
ptv	160	cldf
ykm	160	cldf
bdg	159	cldf
mxm	159	cldf
mkm	158	cldf
tgp	158	cldf
frt	156	cldf
lbb	155	cldf
mkv	155	cldf
rga	155	cldf
nxl	153	cldf
aor	152	cldf
brz	152	cldf
nuq	152	cldf
bjk	151	cldf
bmk	151	cldf
cps	151	cldf
lnn	151	cldf
pme	150	cldf
tgn	150	cldf
tmi	150	cldf
mnl	149	cldf
mrk	148	cldf
end	147	cldf
hla	147	cldf
tlm	145	cldf
dad	144	cldf
wmn	144	cldf
bpk	143	cldf
mkt	143	cldf
don	140	cldf
nek	140	cldf
xsb	140	cldf
abp	139	cldf
aok	139	cldf
smk	139	cldf
blx	138	cldf
xay	137	cldf
xkq	137	cldf
aqr	135	cldf
bsu	135	cldf
tdi	134	cldf
tlk	134	cldf
tti	133	cldf
bno	129	cldf
rmm	127	cldf
ddw	126	cldf
abc	123	cldf
dij	123	cldf
sve	122	cldf
apx	121	cldf
dmr	121	cldf
imr	121	cldf
tvm	121	cldf
bcd	120	cldf
kis	120	cldf
mxz	120	cldf
wet	120	cldf
drn	119	cldf
emw	119	cldf
srw	119	cldf
nil	117	cldf
tve	117	cldf
wlr	116	cldf
vme	115	cldf
ptr	114	cldf
vbb	114	cldf
vnp	114	cldf
alm	111	cldf
kcl	110	cldf
nkk	110	cldf
plb	110	cldf
sbc	109	cldf
due	107	cldf
frd	106	cldf
mft	105	cldf
biq	103	cldf
blq	103	cldf
rak	103	cldf
tmt	103	cldf
ncc	101	cldf
pkg	101	cldf
sbh	99	cldf
nss	98	cldf
num	97	cldf
llf	96	cldf
kzk	95	cldf
nxe	92	cldf
nuw	86	cldf
nmw	83	cldf
bhv	81	cldf
pns	76	cldf
llx	73	cldf
goo	72	cldf
ktk	71	cldf
kys	55	cldf
mxr	54	cldf
whk	54	cldf
bvy	48	cldf
iff	46	cldf
bzh	41	cldf
