lost	top1_known	score	top10
aau	𒀸𒋗𒉿	-8.4226	"[[""𒀸𒋗𒉿"", -8.4226], [""as"", -9.3933], [""kut"", -9.5934], [""ais"", -9.7388], [""xus"", -9.7388], [""𒀀𒀝𒉌𒅖"", -9.899], [""𒌷𒆷𒊍𒉺"", -9.899], [""𒌷𒄩𒀜𒋾"", -9.899], [""𒈪𒋫𒀭𒉌"", -9.899], [""tuk"", -9.9531]]"
ada	𒀸𒋗𒉿	-8.4226	"[[""𒀸𒋗𒉿"", -8.4226], [""𒀀𒀝𒉌𒅖"", -9.899], [""𒌷𒄩𒀜𒋾"", -9.899], [""𒈪𒋫𒀭𒉌"", -9.899], [""𒌷𒆷𒊍𒉺"", -9.899], [""𒌷𒉈𒂊𒊭𒀸"", -10.7315], [""𒌷𒀀𒉿𒅈𒈾"", -10.7315], [""ku6"", -12.1474], [""aʃ"", -12.8387], [""wa"", -12.8387]]"
adad	𒀸𒋗𒉿	-10.6439	"[[""𒀸𒋗𒉿"", -10.6439], [""𒀀𒀝𒉌𒅖"", -11.1101], [""𒌷𒆷𒊍𒉺"", -11.1101], [""𒈪𒋫𒀭𒉌"", -11.1101], [""𒌷𒄩𒀜𒋾"", -11.1101], [""𒌷𒀀𒉿𒅈𒈾"", -12.2879], [""𒌷𒉈𒂊𒊭𒀸"", -12.2879], [""ku6"", -14.9765], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -15.6251], [""lu"", -16.0479]]"
adada	𒌷𒆷𒊍𒉺	-13.1999	"[[""𒌷𒆷𒊍𒉺"", -13.1999], [""𒀀𒀝𒉌𒅖"", -13.1999], [""𒌷𒄩𒀜𒋾"", -13.1999], [""𒈪𒋫𒀭𒉌"", -13.1999], [""𒀸𒋗𒉿"", -13.2697], [""𒌷𒀀𒉿𒅈𒈾"", -13.742], [""𒌷𒉈𒂊𒊭𒀸"", -13.742], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -16.8346], [""ku6"", -17.9765], [""ke"", -19.3208]]"
adadau	𒀀𒀝𒉌𒅖	-15.6764	"[[""𒀀𒀝𒉌𒅖"", -15.6764], [""𒌷𒆷𒊍𒉺"", -15.6764], [""𒈪𒋫𒀭𒉌"", -15.6764], [""𒌷𒄩𒀜𒋾"", -15.6764], [""𒌷𒉈𒂊𒊭𒀸"", -15.7621], [""𒌷𒀀𒉿𒅈𒈾"", -15.7621], [""𒀸𒋗𒉿"", -16.1017], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -18.0751], [""as"", -19.2234], [""kut"", -19.2541]]"
adadaut	𒌷𒉈𒂊𒊭𒀸	-18.1288	"[[""𒌷𒉈𒂊𒊭𒀸"", -18.1288], [""𒌷𒀀𒉿𒅈𒈾"", -18.1288], [""𒀀𒀝𒉌𒅖"", -18.3706], [""𒌷𒆷𒊍𒉺"", -18.3706], [""𒈪𒋫𒀭𒉌"", -18.3706], [""𒌷𒄩𒀜𒋾"", -18.3706], [""𒀸𒋗𒉿"", -19.0604], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -19.6834], [""kut"", -22.7029], [""as"", -22.7256]]"
adadauti	𒌷𒉈𒂊𒊭𒀸	-20.7122	"[[""𒌷𒉈𒂊𒊭𒀸"", -20.7122], [""𒌷𒀀𒉿𒅈𒈾"", -20.7122], [""𒌷𒆷𒊍𒉺"", -21.2055], [""𒀀𒀝𒉌𒅖"", -21.2055], [""𒈪𒋫𒀭𒉌"", -21.2055], [""𒌷𒄩𒀜𒋾"", -21.2055], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -21.435], [""𒀸𒋗𒉿"", -22.1053], [""iːsˤaː́"", -25.8407], [""aːsːa"", -25.8816]]"
adadautin	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -23.4063], [""𒌷𒉈𒂊𒊭𒀸"", -23.4428], [""𒌷𒀀𒉿𒅈𒈾"", -23.4428], [""𒌷𒆷𒊍𒉺"", -24.139], [""𒀀𒀝𒉌𒅖"", -24.139], [""𒈪𒋫𒀭𒉌"", -24.139], [""𒌷𒄩𒀜𒋾"", -24.139], [""𒀸𒋗𒉿"", -25.2127], [""iːsˤaː́"", -27.881], [""aːsːa"", -28.8233]]"
adadautinu	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -25.5942], [""𒌷𒀀𒉿𒅈𒈾"", -26.2798], [""𒌷𒉈𒂊𒊭𒀸"", -26.2798], [""𒀀𒀝𒉌𒅖"", -27.1456], [""𒈪𒋫𒀭𒉌"", -27.1456], [""𒌷𒄩𒀜𒋾"", -27.1456], [""𒌷𒆷𒊍𒉺"", -27.1456], [""𒀸𒋗𒉿"", -28.3678], [""tasːus"", -30.2498], [""iːsˤaː́"", -30.3402]]"
adau	𒀸𒋗𒉿	-10.6439	"[[""𒀸𒋗𒉿"", -10.6439], [""𒀀𒀝𒉌𒅖"", -11.1101], [""𒌷𒆷𒊍𒉺"", -11.1101], [""𒈪𒋫𒀭𒉌"", -11.1101], [""𒌷𒄩𒀜𒋾"", -11.1101], [""𒌷𒀀𒉿𒅈𒈾"", -12.2879], [""𒌷𒉈𒂊𒊭𒀸"", -12.2879], [""as"", -12.6134], [""kut"", -12.7336], [""ais"", -12.8319]]"
adaut	𒌷𒄩𒀜𒋾	-13.1999	"[[""𒌷𒄩𒀜𒋾"", -13.1999], [""𒀀𒀝𒉌𒅖"", -13.1999], [""𒈪𒋫𒀭𒉌"", -13.1999], [""𒌷𒆷𒊍𒉺"", -13.1999], [""𒀸𒋗𒉿"", -13.2697], [""𒌷𒉈𒂊𒊭𒀸"", -13.742], [""𒌷𒀀𒉿𒅈𒈾"", -13.742], [""as"", -16.113], [""kut"", -16.1471], [""xus"", -16.3369]]"
adauti	𒀀𒀝𒉌𒅖	-15.6764	"[[""𒀀𒀝𒉌𒅖"", -15.6764], [""𒈪𒋫𒀭𒉌"", -15.6764], [""𒌷𒆷𒊍𒉺"", -15.6764], [""𒌷𒄩𒀜𒋾"", -15.6764], [""𒌷𒀀𒉿𒅈𒈾"", -15.7621], [""𒌷𒉈𒂊𒊭𒀸"", -15.7621], [""𒀸𒋗𒉿"", -16.1017], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -18.0751], [""kut"", -19.5661], [""tuk"", -19.5844]]"
adautin	𒌷𒀀𒉿𒅈𒈾	-18.1288	"[[""𒌷𒀀𒉿𒅈𒈾"", -18.1288], [""𒌷𒉈𒂊𒊭𒀸"", -18.1288], [""𒌷𒄩𒀜𒋾"", -18.3706], [""𒌷𒆷𒊍𒉺"", -18.3706], [""𒈪𒋫𒀭𒉌"", -18.3706], [""𒀀𒀝𒉌𒅖"", -18.3706], [""𒀸𒋗𒉿"", -19.0604], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -19.6834], [""iːsˤaː́"", -21.7222], [""aːsːa"", -22.6493]]"
adautinu	𒌷𒉈𒂊𒊭𒀸	-20.7122	"[[""𒌷𒉈𒂊𒊭𒀸"", -20.7122], [""𒌷𒀀𒉿𒅈𒈾"", -20.7122], [""𒌷𒆷𒊍𒉺"", -21.2055], [""𒀀𒀝𒉌𒅖"", -21.2055], [""𒈪𒋫𒀭𒉌"", -21.2055], [""𒌷𒄩𒀜𒋾"", -21.2055], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -21.435], [""𒀸𒋗𒉿"", -22.1053], [""tsak"", -23.5616], [""tsik"", -23.5616]]"
adautinui	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -23.4063], [""𒌷𒉈𒂊𒊭𒀸"", -23.4428], [""𒌷𒀀𒉿𒅈𒈾"", -23.4428], [""𒀀𒀝𒉌𒅖"", -24.139], [""𒈪𒋫𒀭𒉌"", -24.139], [""𒌷𒄩𒀜𒋾"", -24.139], [""𒌷𒆷𒊍𒉺"", -24.139], [""𒀸𒋗𒉿"", -25.2127], [""tsak"", -26.732], [""tsik"", -26.732]]"
adautinuin	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -25.5942], [""𒌷𒉈𒂊𒊭𒀸"", -26.2798], [""𒌷𒀀𒉿𒅈𒈾"", -26.2798], [""𒀀𒀝𒉌𒅖"", -27.1456], [""𒌷𒄩𒀜𒋾"", -27.1456], [""𒈪𒋫𒀭𒉌"", -27.1456], [""𒌷𒆷𒊍𒉺"", -27.1456], [""𒀸𒋗𒉿"", -28.3678], [""iːsˤaː́"", -29.6201], [""tsik"", -29.9811]]"
adaw	𒀸𒋗𒉿	-10.6439	"[[""𒀸𒋗𒉿"", -10.6439], [""𒀀𒀝𒉌𒅖"", -11.1101], [""𒌷𒆷𒊍𒉺"", -11.1101], [""𒈪𒋫𒀭𒉌"", -11.1101], [""𒌷𒄩𒀜𒋾"", -11.1101], [""𒌷𒀀𒉿𒅈𒈾"", -12.2879], [""𒌷𒉈𒂊𒊭𒀸"", -12.2879], [""ku6"", -14.9765], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -15.6251], [""lu"", -16.0479]]"
adawa	𒌷𒆷𒊍𒉺	-13.1999	"[[""𒌷𒆷𒊍𒉺"", -13.1999], [""𒀀𒀝𒉌𒅖"", -13.1999], [""𒌷𒄩𒀜𒋾"", -13.1999], [""𒈪𒋫𒀭𒉌"", -13.1999], [""𒀸𒋗𒉿"", -13.2697], [""𒌷𒀀𒉿𒅈𒈾"", -13.742], [""𒌷𒉈𒂊𒊭𒀸"", -13.742], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -16.8346], [""ku6"", -17.9765], [""ke"", -19.3208]]"
adawai	𒀀𒀝𒉌𒅖	-15.6764	"[[""𒀀𒀝𒉌𒅖"", -15.6764], [""𒌷𒄩𒀜𒋾"", -15.6764], [""𒈪𒋫𒀭𒉌"", -15.6764], [""𒌷𒆷𒊍𒉺"", -15.6764], [""𒌷𒀀𒉿𒅈𒈾"", -15.7621], [""𒌷𒉈𒂊𒊭𒀸"", -15.7621], [""𒀸𒋗𒉿"", -16.1017], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -18.0751], [""ku6"", -21.0773], [""lu"", -22.6343]]"
adawaij	𒌷𒉈𒂊𒊭𒀸	-18.1288	"[[""𒌷𒉈𒂊𒊭𒀸"", -18.1288], [""𒌷𒀀𒉿𒅈𒈾"", -18.1288], [""𒌷𒆷𒊍𒉺"", -18.3706], [""𒌷𒄩𒀜𒋾"", -18.3706], [""𒈪𒋫𒀭𒉌"", -18.3706], [""𒀀𒀝𒉌𒅖"", -18.3706], [""𒀸𒋗𒉿"", -19.0604], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -19.6834], [""eːʃ"", -20.7229], [""xuːʃ"", -21.0696]]"
adawaija	𒌷𒀀𒉿𒅈𒈾	-20.7122	"[[""𒌷𒀀𒉿𒅈𒈾"", -20.7122], [""𒌷𒉈𒂊𒊭𒀸"", -20.7122], [""𒀀𒀝𒉌𒅖"", -21.2055], [""𒌷𒆷𒊍𒉺"", -21.2055], [""𒌷𒄩𒀜𒋾"", -21.2055], [""𒈪𒋫𒀭𒉌"", -21.2055], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -21.435], [""𒀸𒋗𒉿"", -22.1053], [""eːʃ"", -24.2138], [""xuːʃ"", -24.5657]]"
adi	𒀸𒋗𒉿	-8.4226	"[[""𒀸𒋗𒉿"", -8.4226], [""𒀀𒀝𒉌𒅖"", -9.899], [""𒌷𒄩𒀜𒋾"", -9.899], [""𒈪𒋫𒀭𒉌"", -9.899], [""𒌷𒆷𒊍𒉺"", -9.899], [""𒌷𒉈𒂊𒊭𒀸"", -10.7315], [""𒌷𒀀𒉿𒅈𒈾"", -10.7315], [""ku6"", -12.1474], [""aʃ"", -12.8387], [""wa"", -12.8387]]"
adik	𒀸𒋗𒉿	-10.6439	"[[""𒀸𒋗𒉿"", -10.6439], [""𒀀𒀝𒉌𒅖"", -11.1101], [""𒌷𒆷𒊍𒉺"", -11.1101], [""𒈪𒋫𒀭𒉌"", -11.1101], [""𒌷𒄩𒀜𒋾"", -11.1101], [""𒌷𒀀𒉿𒅈𒈾"", -12.2879], [""𒌷𒉈𒂊𒊭𒀸"", -12.2879], [""ku6"", -14.9765], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -15.6251], [""lu"", -16.0479]]"
adiki	𒌷𒆷𒊍𒉺	-13.1999	"[[""𒌷𒆷𒊍𒉺"", -13.1999], [""𒀀𒀝𒉌𒅖"", -13.1999], [""𒌷𒄩𒀜𒋾"", -13.1999], [""𒈪𒋫𒀭𒉌"", -13.1999], [""𒀸𒋗𒉿"", -13.2697], [""𒌷𒀀𒉿𒅈𒈾"", -13.742], [""𒌷𒉈𒂊𒊭𒀸"", -13.742], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -16.8346], [""ku6"", -17.9765], [""ke"", -19.3208]]"
adikit	𒀀𒀝𒉌𒅖	-15.6764	"[[""𒀀𒀝𒉌𒅖"", -15.6764], [""𒌷𒄩𒀜𒋾"", -15.6764], [""𒈪𒋫𒀭𒉌"", -15.6764], [""𒌷𒆷𒊍𒉺"", -15.6764], [""𒌷𒀀𒉿𒅈𒈾"", -15.7621], [""𒌷𒉈𒂊𒊭𒀸"", -15.7621], [""𒀸𒋗𒉿"", -16.1017], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -18.0751], [""ku6"", -21.0773], [""lu"", -22.6343]]"
adikite	𒌷𒀀𒉿𒅈𒈾	-18.1288	"[[""𒌷𒀀𒉿𒅈𒈾"", -18.1288], [""𒌷𒉈𒂊𒊭𒀸"", -18.1288], [""𒌷𒄩𒀜𒋾"", -18.3706], [""𒀀𒀝𒉌𒅖"", -18.3706], [""𒌷𒆷𒊍𒉺"", -18.3706], [""𒈪𒋫𒀭𒉌"", -18.3706], [""𒀸𒋗𒉿"", -19.0604], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -19.6834], [""ku6"", -24.2448], [""iːsˤaː́"", -25.6984]]"
adikites	𒌷𒀀𒉿𒅈𒈾	-20.7122	"[[""𒌷𒀀𒉿𒅈𒈾"", -20.7122], [""𒌷𒉈𒂊𒊭𒀸"", -20.7122], [""𒈪𒋫𒀭𒉌"", -21.2055], [""𒌷𒆷𒊍𒉺"", -21.2055], [""𒌷𒄩𒀜𒋾"", -21.2055], [""𒀀𒀝𒉌𒅖"", -21.2055], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -21.435], [""𒀸𒋗𒉿"", -22.1053], [""apːa"", -25.6053], [""paːi"", -25.6066]]"
adikitesi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -23.4063], [""𒌷𒉈𒂊𒊭𒀸"", -23.4428], [""𒌷𒀀𒉿𒅈𒈾"", -23.4428], [""𒌷𒆷𒊍𒉺"", -24.139], [""𒀀𒀝𒉌𒅖"", -24.139], [""𒌷𒄩𒀜𒋾"", -24.139], [""𒈪𒋫𒀭𒉌"", -24.139], [""𒀸𒋗𒉿"", -25.2127], [""apːa"", -29.0833], [""paːi"", -29.0882]]"
adikitesir	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -25.5942], [""𒌷𒉈𒂊𒊭𒀸"", -26.2798], [""𒌷𒀀𒉿𒅈𒈾"", -26.2798], [""𒌷𒆷𒊍𒉺"", -27.1456], [""𒀀𒀝𒉌𒅖"", -27.1456], [""𒈪𒋫𒀭𒉌"", -27.1456], [""𒌷𒄩𒀜𒋾"", -27.1456], [""𒀸𒋗𒉿"", -28.3678], [""saːki"", -30.1647], [""waːki"", -30.1647]]"
adikitet	𒌷𒀀𒉿𒅈𒈾	-20.7122	"[[""𒌷𒀀𒉿𒅈𒈾"", -20.7122], [""𒌷𒉈𒂊𒊭𒀸"", -20.7122], [""𒀀𒀝𒉌𒅖"", -21.2055], [""𒌷𒄩𒀜𒋾"", -21.2055], [""𒈪𒋫𒀭𒉌"", -21.2055], [""𒌷𒆷𒊍𒉺"", -21.2055], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -21.435], [""𒀸𒋗𒉿"", -22.1053], [""ku6"", -27.4599], [""iːsˤaː́"", -28.4239]]"
adikitete	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -23.4063], [""𒌷𒉈𒂊𒊭𒀸"", -23.4428], [""𒌷𒀀𒉿𒅈𒈾"", -23.4428], [""𒀀𒀝𒉌𒅖"", -24.139], [""𒌷𒄩𒀜𒋾"", -24.139], [""𒌷𒆷𒊍𒉺"", -24.139], [""𒈪𒋫𒀭𒉌"", -24.139], [""𒀸𒋗𒉿"", -25.2127], [""ku6"", -30.7105], [""iːsˤaː́"", -31.2348]]"
adikiteter	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -25.5942], [""𒌷𒉈𒂊𒊭𒀸"", -26.2798], [""𒌷𒀀𒉿𒅈𒈾"", -26.2798], [""𒀀𒀝𒉌𒅖"", -27.1456], [""𒌷𒆷𒊍𒉺"", -27.1456], [""𒈪𒋫𒀭𒉌"", -27.1456], [""𒌷𒄩𒀜𒋾"", -27.1456], [""𒀸𒋗𒉿"", -28.3678], [""apːa"", -32.0719], [""paːi"", -32.0729]]"
adikitu	𒌷𒉈𒂊𒊭𒀸	-18.1288	"[[""𒌷𒉈𒂊𒊭𒀸"", -18.1288], [""𒌷𒀀𒉿𒅈𒈾"", -18.1288], [""𒀀𒀝𒉌𒅖"", -18.3706], [""𒌷𒄩𒀜𒋾"", -18.3706], [""𒈪𒋫𒀭𒉌"", -18.3706], [""𒌷𒆷𒊍𒉺"", -18.3706], [""𒀸𒋗𒉿"", -19.0604], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -19.6834], [""as"", -22.577], [""kut"", -22.577]]"
adikituj	𒌷𒉈𒂊𒊭𒀸	-20.7122	"[[""𒌷𒉈𒂊𒊭𒀸"", -20.7122], [""𒌷𒀀𒉿𒅈𒈾"", -20.7122], [""𒌷𒆷𒊍𒉺"", -21.2055], [""𒌷𒄩𒀜𒋾"", -21.2055], [""𒈪𒋫𒀭𒉌"", -21.2055], [""𒀀𒀝𒉌𒅖"", -21.2055], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -21.435], [""𒀸𒋗𒉿"", -22.1053], [""ke"", -23.5024], [""saːki"", -23.5279]]"
adikituja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -23.4063], [""𒌷𒉈𒂊𒊭𒀸"", -23.4428], [""𒌷𒀀𒉿𒅈𒈾"", -23.4428], [""𒀀𒀝𒉌𒅖"", -24.139], [""𒌷𒆷𒊍𒉺"", -24.139], [""𒌷𒄩𒀜𒋾"", -24.139], [""𒈪𒋫𒀭𒉌"", -24.139], [""𒀸𒋗𒉿"", -25.2127], [""ku6"", -26.3423], [""saːki"", -26.8619]]"
adikitujas	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	"[[""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -25.5942], [""𒌷𒀀𒉿𒅈𒈾"", -26.2798], [""𒌷𒉈𒂊𒊭𒀸"", -26.2798], [""tuk"", -27.0102], [""𒌷𒄩𒀜𒋾"", -27.1456], [""𒀀𒀝𒉌𒅖"", -27.1456], [""𒌷𒆷𒊍𒉺"", -27.1456], [""𒈪𒋫𒀭𒉌"", -27.1456], [""tai"", -27.2903], [""paːi"", -27.7015]]"
aea	𒀸𒋗𒉿	-8.4226	"[[""𒀸𒋗𒉿"", -8.4226], [""𒀀𒀝𒉌𒅖"", -9.899], [""𒌷𒄩𒀜𒋾"", -9.899], [""𒈪𒋫𒀭𒉌"", -9.899], [""𒌷𒆷𒊍𒉺"", -9.899], [""𒌷𒉈𒂊𒊭𒀸"", -10.7315], [""𒌷𒀀𒉿𒅈𒈾"", -10.7315], [""ku6"", -12.1474], [""aʃ"", -12.8387], [""wa"", -12.8387]]"
aead	𒀸𒋗𒉿	-10.6439	"[[""𒀸𒋗𒉿"", -10.6439], [""𒀀𒀝𒉌𒅖"", -11.1101], [""𒌷𒆷𒊍𒉺"", -11.1101], [""𒈪𒋫𒀭𒉌"", -11.1101], [""𒌷𒄩𒀜𒋾"", -11.1101], [""𒌷𒀀𒉿𒅈𒈾"", -12.2879], [""𒌷𒉈𒂊𒊭𒀸"", -12.2879], [""ku6"", -14.9765], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -15.6251], [""lu"", -16.0479]]"
aeadi	𒌷𒆷𒊍𒉺	-13.1999	"[[""𒌷𒆷𒊍𒉺"", -13.1999], [""𒀀𒀝𒉌𒅖"", -13.1999], [""𒌷𒄩𒀜𒋾"", -13.1999], [""𒈪𒋫𒀭𒉌"", -13.1999], [""𒀸𒋗𒉿"", -13.2697], [""𒌷𒀀𒉿𒅈𒈾"", -13.742], [""𒌷𒉈𒂊𒊭𒀸"", -13.742], [""𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖"", -16.8346], [""ku6"", -17.9765], [""ke"", -19.3208]]"
