lost	top1_known	score	top10
adadautinu	paːʈa-	-23.135	"[[""paːʈa-"", -23.135], [""muːʈʈaj"", -23.676], [""peʈʈi"", -23.6989], [""putʃa-"", -24.1719], [""tʃir-"", -24.5027], [""tʃij-"", -24.5027], [""pera-"", -24.6714], [""poʈʈ-"", -24.9503], [""piː"", -25.2165], [""pokaj"", -25.4843]]"
adau	poʈʈ-	-9.0498	"[[""poʈʈ-"", -9.0498], [""patʃ-"", -9.1213], [""putʃ"", -9.7722], [""piː"", -11.0488], [""paːʈa-"", -11.1871], [""peːtʃ-"", -11.201], [""paɳ-"", -11.3617], [""oʈ-"", -11.5629], [""pitʃtʃ-"", -11.6367], [""paːʈu"", -11.8195]]"
adaut	peʈʈi	-9.6952	"[[""peʈʈi"", -9.6952], [""appa"", -10.4482], [""poʈʈ-"", -11.8658], [""paɻa"", -11.8906], [""patʃ-"", -11.9288], [""puʈala"", -12.0682], [""pula"", -12.1682], [""puli"", -12.1682], [""paːʈa-"", -12.3682], [""palatʃa"", -12.7866]]"
adauti	paːʈa-	-11.9719	"[[""paːʈa-"", -11.9719], [""-aj"", -12.0026], [""-ar"", -12.0026], [""pokaj"", -12.1663], [""tʃaj"", -12.6082], [""tʃir"", -12.6082], [""tʃij"", -12.6082], [""putʃa-"", -12.623], [""piː"", -12.6758], [""piːr"", -12.8553]]"
adautin	paːʈa-	-14.7809	"[[""paːʈa-"", -14.7809], [""pera-"", -15.3385], [""putʃa-"", -15.4474], [""tʃij-"", -15.4643], [""tʃir-"", -15.4643], [""piː"", -15.5019], [""-aj"", -15.5098], [""-ar"", -15.5098], [""pokaj"", -15.6735], [""tʃir"", -16.1154]]"
adautinu	paːʈa-	-17.8613	"[[""paːʈa-"", -17.8613], [""pera-"", -18.0816], [""tʃir-"", -18.2877], [""tʃij-"", -18.2877], [""putʃa-"", -18.5529], [""piː"", -18.6081], [""-aj"", -19.0169], [""-ar"", -19.0169], [""pokaj"", -19.1806], [""piːt̪-"", -19.4167]]"
adautinui	piːr	-18.5965	"[[""piːr"", -18.5965], [""paːraj"", -20.6566], [""pera-"", -20.9782], [""paːʈa-"", -21.0488], [""tʃeːr"", -21.3824], [""tʃir-"", -21.3876], [""tʃij-"", -21.3876], [""peːn̪"", -21.6699], [""putʃa-"", -21.7745], [""piː"", -21.83]]"
adautinuin	piːr	-22.103	"[[""piːr"", -22.103], [""paːraj"", -23.941], [""pera-"", -23.9716], [""paːʈa-"", -24.2918], [""piːt̪-"", -24.3047], [""tʃir-"", -24.3891], [""tʃij-"", -24.3891], [""tʃeːr"", -24.8889], [""putʃa-"", -25.0599], [""piː"", -25.1157]]"
adaw	poʈʈ-	-9.0498	"[[""poʈʈ-"", -9.0498], [""patʃ-"", -9.1213], [""putʃ"", -9.7722], [""piː"", -11.0488], [""paːʈa-"", -11.1871], [""peːtʃ-"", -11.201], [""paɳ-"", -11.3617], [""oʈ-"", -11.5629], [""pitʃtʃ-"", -11.6367], [""paːʈu"", -11.8195]]"
adawa	poʈʈ-	-11.6185	"[[""poʈʈ-"", -11.6185], [""putʃ"", -11.8865], [""patʃ-"", -11.9202], [""peʈʈi"", -12.982], [""aɳʈʈ"", -13.2083], [""paːʈa-"", -13.4624], [""peːtʃ-"", -13.9576], [""piː"", -14.0021], [""paːʈu"", -14.0133], [""tʃuːʈ"", -14.0291]]"
adawai	poʈʈ-	-12.476	"[[""poʈʈ-"", -12.476], [""piːr"", -13.9979], [""poːr"", -13.9979], [""patʃ-"", -14.3463], [""pitʃtʃ-"", -15.1728], [""putʃ"", -15.392], [""peʈʈi"", -15.8434], [""pot̪"", -15.9494], [""pin̪"", -15.9494], [""pan̪"", -15.9494]]"
adawaij	poʈʈ-	-15.3253	"[[""poʈʈ-"", -15.3253], [""patʃ-"", -17.3458], [""piːr"", -17.5036], [""poːr"", -17.5036], [""pitʃtʃ-"", -18.0067], [""aɳʈʈ-"", -18.8682], [""putʃ"", -18.8968], [""paːʈa-"", -18.9045], [""peʈʈi"", -18.9606], [""peːtʃ-"", -18.995]]"
adawaija	poʈʈ-	-18.4185	"[[""poʈʈ-"", -18.4185], [""patʃ-"", -20.5087], [""piːr"", -21.0083], [""poːr"", -21.0083], [""pitʃtʃ-"", -21.0681], [""putʃ"", -21.3314], [""peʈʈi"", -21.5683], [""paːʈa-"", -21.7454], [""aɳʈʈ-"", -21.9626], [""peːtʃ-"", -22.1066]]"
adi	poːr	-5.6219	"[[""poːr"", -5.6219], [""piːr"", -5.6219], [""pan̪"", -6.9581], [""pot̪"", -6.9581], [""pin̪"", -6.9581], [""paːraj"", -8.2693], [""piː"", -8.3337], [""-ar"", -8.4315], [""-aj"", -8.4315], [""aːj"", -8.4735]]"
adik	po	-7.009	"[[""po"", -7.009], [""poːr"", -8.8983], [""puɻu"", -9.0784], [""piːr"", -9.1256], [""paht̪u"", -9.3216], [""pitu"", -9.3573], [""oru"", -9.3815], [""pot̪"", -9.7819], [""poɻut̪u"", -9.9759], [""pon̪ku"", -10.2192]]"
adiki	poːr	-9.9832	"[[""poːr"", -9.9832], [""pokaj"", -10.4623], [""po"", -10.5162], [""pot̪"", -10.9375], [""piːr"", -11.0421], [""-oː"", -11.6354], [""paːraj"", -11.7277], [""puɻu"", -12.3611], [""oru"", -12.6034], [""puːɳ"", -12.6408]]"
adikit	ajja	-12.8635	"[[""ajja"", -12.8635], [""puli"", -13.2135], [""pula"", -13.2135], [""kerri"", -13.233], [""oj-"", -13.3661], [""poːr"", -13.4101], [""pokaj"", -13.906], [""oraɭu"", -13.9855], [""po"", -14.0234], [""paːraj"", -14.1199]]"
adikite	put̪a-	-13.7909	"[[""put̪a-"", -13.7909], [""pera-"", -15.0286], [""putʃa-"", -16.1251], [""oj-"", -16.1921], [""t̪oramp-"", -16.3186], [""ajja"", -16.3707], [""puli"", -16.7067], [""pula"", -16.7067], [""kerri"", -16.7401], [""oraɭu"", -16.7876]]"
adikites	put̪a-	-16.6143	"[[""put̪a-"", -16.6143], [""pera-"", -17.8504], [""t̪oramp-"", -18.7506], [""putʃa-"", -18.9486], [""jaː-"", -18.9845], [""oj-"", -19.2981], [""piː"", -19.6939], [""oraɭu"", -19.876], [""ajja"", -19.8778], [""puli"", -20.1998]]"
adikitesi	paːraj	-18.0348	"[[""paːraj"", -18.0348], [""poːr"", -19.0035], [""piːr"", -19.6857], [""put̪a-"", -19.7187], [""pokaj"", -20.1825], [""pera-"", -20.9254], [""jaː-"", -21.4433], [""t̪oramp-"", -21.5666], [""t̪eːr"", -21.7845], [""n̪iːr"", -21.7845]]"
adikitesir	paːraj	-21.5359	"[[""paːraj"", -21.5359], [""jaːh"", -22.1138], [""poːr"", -22.5101], [""put̪a-"", -22.9388], [""piːr"", -23.1918], [""pokaj"", -23.6766], [""pera-"", -24.0941], [""jaː-"", -24.2744], [""puh"", -24.5385], [""t̪oramp-"", -24.5594]]"
adikitet	put̪a-	-16.6057	"[[""put̪a-"", -16.6057], [""pera-"", -17.8401], [""t̪oramp-"", -18.7409], [""putʃa-"", -18.9328], [""jaː-"", -18.9766], [""puli"", -19.1635], [""pula"", -19.1635], [""ajja"", -19.1746], [""oj-"", -19.2981], [""puʈala"", -19.3347]]"
adikitete	put̪a-	-19.4051	"[[""put̪a-"", -19.4051], [""pera-"", -20.5873], [""t̪oramp-"", -21.4103], [""jaː-"", -21.4279], [""putʃa-"", -21.5316], [""paːʈa-"", -22.3837], [""piː"", -22.5138], [""oj-"", -22.52], [""puli"", -22.6661], [""pula"", -22.6661]]"
adikiteter	jaːh	-21.8247	"[[""jaːh"", -21.8247], [""put̪a-"", -22.5024], [""pera-"", -23.6667], [""jaː-"", -24.1128], [""t̪oramp-"", -24.2994], [""puh"", -24.5385], [""putʃa-"", -24.5708], [""paːʈa-"", -25.2008], [""piː"", -25.6206], [""paɻa-"", -25.7035]]"
adikitu	put̪a-	-13.7909	"[[""put̪a-"", -13.7909], [""pera-"", -15.0286], [""putʃa-"", -16.1251], [""oj-"", -16.1921], [""t̪oramp-"", -16.3186], [""ajja"", -16.3707], [""puli"", -16.7067], [""pula"", -16.7067], [""kerri"", -16.7401], [""oraɭu"", -16.7876]]"
adikituj	put̪a-	-16.6143	"[[""put̪a-"", -16.6143], [""pera-"", -17.8504], [""t̪oramp-"", -18.7506], [""putʃa-"", -18.9486], [""jaː-"", -18.9845], [""oj-"", -19.2981], [""piː"", -19.6939], [""oraɭu"", -19.876], [""ajja"", -19.8778], [""puli"", -20.1998]]"
adikituja	put̪a-	-19.7194	"[[""put̪a-"", -19.7194], [""pera-"", -20.9534], [""t̪oramp-"", -21.3415], [""jaː-"", -21.4433], [""kuratʃ"", -21.9384], [""putʃa-"", -22.0393], [""tʃuːʈ"", -22.4266], [""jaːʈu"", -22.4272], [""oj-"", -22.52], [""piː"", -22.8013]]"
adikitujas	t̪oramp-	-22.1944	"[[""t̪oramp-"", -22.1944], [""put̪a-"", -22.9407], [""pera-"", -24.1724], [""jaː-"", -24.2744], [""kuratʃ-"", -24.739], [""peːtʃ-"", -25.1459], [""paːʈa-"", -25.229], [""putʃa-"", -25.2346], [""jaːʈu"", -25.2569], [""tʃuːʈ-"", -25.2765]]"
aea	putʃ	-6.2694	"[[""putʃ"", -6.2694], [""piː"", -8.2247], [""paɳ-"", -8.6932], [""poʈʈ-"", -8.9215], [""paːʈa-"", -9.0109], [""peʈʈi"", -9.0207], [""paːʈu"", -9.0218], [""tʃuːʈ"", -9.0768], [""puɭ"", -9.0837], [""peɳ"", -9.0837]]"
aead	poʈʈ-	-9.0498	"[[""poʈʈ-"", -9.0498], [""patʃ-"", -9.1213], [""putʃ"", -9.7722], [""piː"", -11.0488], [""paːʈa-"", -11.1871], [""peːtʃ-"", -11.201], [""paɳ-"", -11.3617], [""oʈ-"", -11.5629], [""pitʃtʃ-"", -11.6367], [""paːʈu"", -11.8195]]"
aeadi	poːr	-11.0447	"[[""poːr"", -11.0447], [""piːr"", -11.0447], [""poʈʈ-"", -11.8658], [""patʃ-"", -11.9438], [""pin̪"", -12.8553], [""pan̪"", -12.8553], [""pot̪"", -12.8553], [""putʃ"", -13.2732], [""paːraj"", -13.4833], [""paːʈa-"", -13.8851]]"
aeadik	paːʈu	-12.6184	"[[""paːʈu"", -12.6184], [""po"", -13.3321], [""aʈʈu"", -13.9517], [""poːr"", -14.4513], [""piːr"", -14.5501], [""paht̪u"", -14.8779], [""poʈʈ-"", -14.9484], [""patʃ-"", -15.0464], [""-oːʈu"", -15.0636], [""puɻu"", -15.1624]]"
aeadiki	poːr	-16.0673	"[[""poːr"", -16.0673], [""paːʈu"", -16.1252], [""pokaj"", -16.7702], [""piːr"", -16.7886], [""po"", -16.8393], [""paːraj"", -17.1782], [""pot̪"", -17.2106], [""aʈʈu"", -17.4589], [""poʈʈ-"", -17.9532], [""-oː"", -18.1383]]"
aeadikit	ajja	-19.3678	"[[""ajja"", -19.3678], [""poːr"", -19.5108], [""puli"", -19.5216], [""pula"", -19.5216], [""kerri"", -19.5347], [""paːʈu"", -19.6308], [""paːraj"", -19.7598], [""peʈʈi"", -20.1136], [""pokaj"", -20.2139], [""piːr"", -20.2665]]"
aeadikite	put̪a-	-20.0638	"[[""put̪a-"", -20.0638], [""pera-"", -21.0785], [""putʃa-"", -22.0404], [""paːʈa-"", -22.4383], [""paːraj"", -22.7935], [""t̪oramp-"", -22.8224], [""ajja"", -22.875], [""poːr"", -22.9355], [""puli"", -23.0151], [""pula"", -23.0151]]"
aeadikitet	put̪a-	-22.8788	"[[""put̪a-"", -22.8788], [""pera-"", -23.8913], [""putʃa-"", -24.8531], [""paːʈa-"", -25.2323], [""t̪oramp-"", -25.2446], [""puʈala"", -25.2617], [""puli"", -25.4763], [""pula"", -25.4763], [""ajja"", -25.683], [""paːraj"", -25.7212]]"
aid	poːr	-6.9651	"[[""poːr"", -6.9651], [""piːr"", -6.9651], [""pan̪"", -7.6556], [""pin̪"", -7.6556], [""pot̪"", -7.6556], [""piː"", -8.3337], [""paɳ-"", -8.703], [""pera-"", -8.9679], [""oj-"", -9.1314], [""ir-"", -9.1314]]"
aida	putʃ	-9.3567	"[[""putʃ"", -9.3567], [""piːr"", -10.4546], [""poːr"", -10.4546], [""pot̪"", -11.1461], [""pin̪"", -11.1461], [""pan̪"", -11.1461], [""piː"", -11.2083], [""paɳ-"", -11.5133], [""pera-"", -11.674], [""paːʈa-"", -11.6802]]"
aidaa	poʈʈ-	-11.7248	"[[""poʈʈ-"", -11.7248], [""putʃ"", -11.8829], [""patʃ-"", -12.1811], [""jaɳʈ-"", -12.6045], [""peʈʈi"", -12.6907], [""aɳʈʈ"", -12.8068], [""paːʈa-"", -13.5173], [""peːtʃ-"", -13.7753], [""piːr"", -13.9316], [""poːr"", -13.9316]]"
aidaau	poʈʈ-	-12.1369	"[[""poʈʈ-"", -12.1369], [""patʃ-"", -14.4247], [""jaɳʈ-"", -14.8866], [""putʃ"", -15.3886], [""pitʃtʃ-"", -15.39], [""peʈʈi"", -15.5312], [""aɳʈʈ-"", -15.649], [""peːtʃ-"", -15.9456], [""paːʈa-"", -16.0265], [""aɳʈʈ"", -16.3128]]"
