lost	known	score
 ip	as	-10.2792
 it	as	-10.2792
 ut	as	-10.2792
a d	ammuːk	-10.5666
 da	ammuːk	-12.0718
a u	aːtar	-12.4511
a ut	ammuːk	-12.7096
a da	ammuːk	-12.7149
 un	alel	-12.979
 id	ammuːk	-12.9881
 in	as	-13.1376
 ja	as	-13.1376
 sa	as	-13.1376
a i	as	-13.1376
a j	as	-13.1376
a s	as	-13.1376
 uti	alpas	-13.8066
 ipi	as	-13.8407
 iti	as	-13.8407
 dad	ammuːk	-14.6374
 sar	aleːl	-15.0908
 idi	ammuːk	-15.1951
a dad	ammuːk	-15.3613
 jad	asːus	-15.7584
 una	alel	-16.2834
 ina	as	-16.4207
 jas	as	-16.4207
a in	as	-16.4207
a ja	as	-16.4207
a sa	as	-16.4207
 utin	alpas	-17.0903
 ipin	as	-17.4022
 dada	ammuːk	-17.4235
a jad	ammuːk	-17.5705
a sar	aleːl	-17.8798
a dada	ammuːk	-18.2294
 jadi	ammuːk	-18.4348
 sara	aleːl	-18.6434
 utinu	aleːl	-19.1028
 unak	alel	-19.637
a ina	annas	-19.7155
a jadi	ammuːk	-19.7528
 inai	as	-19.7675
 inaj	as	-19.7675
 jasa	as	-19.7675
 dada 	arunas	-19.9676
 saram	aleːl	-20.4869
 ipina	aːsːa	-20.6815
 ipinam	aːitsːi	-21.151
 jadik	ammuːk	-21.2137
a dada 	ammuːk	-21.2641
a sara	aleːl	-21.4435
 dada ut	ammuːk	-21.6415
 inaid	asːus	-21.7239
 jadikit	ammuːk	-22.2905
a jadik	ammuːk	-22.5149
 utinu 	awaːrna	-22.6266
 sarame	aleːl	-22.7785
 dada u	arunas	-22.845
a inaj	annas	-23.0201
 unaka	alel	-23.0237
 inaja	as	-23.1548
 jasas	as	-23.1548
a saram	arnuːtsːi	-23.5575
 inajar	aleːl	-23.9144
 jadiki	ammuːk	-24.2205
a dada u	ammuːk	-24.4068
 inaida	asːus	-24.6308
 ipinama	aːitsːi	-24.727
a jadiki	ammuːk	-25.5157
 utinu i	awaːrna	-25.5281
 sarame 	aleːl	-25.5611
a sarame	aleːl	-26.1027
a inaja	ammuːk	-26.3364
 unakan	alel	-26.4339
 jasasa	apijaː	-26.4843
 jasasar	aleːl	-27.0616
a inajar	aleːl	-27.0616
 inajare	aleːl	-27.4862
 unakana	alel	-29.862
