lost	known	score
a s	Jaɲ	-5.1087
 sa	=de	-5.135
a sa	Masa	-7.4972
 jas	Jaɲ	-7.6162
 sar	=de	-7.9955
 ja	=ewẽ	-9.8448
 un	=ewẽ	-9.8448
a j	=ewẽ	-9.8448
a u	=ewẽ	-9.8448
 sara	=ewẽ	-10.0048
 jasa	Masa	-10.005
a sar	Masa	-10.3563
 da	=be	-10.5558
 in	=be	-10.5558
 ut	Jaɲ	-10.9356
a d	Jaɲ	-10.9356
a i	Jaɲ	-10.9356
 id	Jaɲ	-11.6306
 ip	Jaɲ	-11.6306
 it	Jaɲ	-11.6306
 una	=ewẽ	-12.2735
a ja	=ewẽ	-12.2735
 ina	=ewẽ	-12.7357
 saram	Ddxuɡa	-12.8082
a da	=ewẽ	-12.8744
a in	=ewẽ	-12.8744
 jasas	Masa	-12.8833
a sara	=ewẽ	-12.9007
 jad	=ewẽ	-13.1752
a ut	=ewẽ	-13.1752
 dad	=ewẽ	-13.8473
 uti	Jaɲ	-14.0555
 sarame 	Ddawaxãma	-14.4248
 jasasa	Kijetse	-14.4636
 idi	Jaɲ	-14.6973
 ipi	Jaɲ	-14.6973
 iti	Jaɲ	-14.6973
 sarame	Ddakʷasa	-14.9239
 inaj	=ewẽ	-15.2844
a ina	=ewẽ	-15.3999
 unak	=ewẽ	-15.6907
a jad	=ewẽ	-15.6907
a saram	Ddxuɡa	-15.6935
 dada	=ewẽ	-15.8472
 utin	=ewẽ	-16.0611
 inai	=ewẽ	-16.105
a dad	=ewẽ	-16.2563
 jadi	=ewẽ	-16.5467
 ipin	=be	-16.6698
 jasasar	Hutsetẽi	-16.7928
a sarame	Ddakʷasa	-17.8175
 inaja	=ewẽ	-18.0588
a inaj	=ewẽ	-18.1624
 unaka	=ewẽ	-18.2436
 dada 	=ewẽ	-18.4781
a dada	=ewẽ	-18.6403
 utinu	=ewẽ	-18.6406
 ipina	=ewẽ	-19.0697
a jadi	=ewẽ	-19.1257
 inajare	=ewẽ	-19.2207
 inaid	=ewẽ	-19.5044
 jadik	=ewẽ	-19.946
 inajar	=ewẽ	-19.9554
a inaja	=ewẽ	-21.0673
 unakan	=ewẽ	-21.1154
 dada u	=ewẽ	-21.3144
a dada 	=ewẽ	-21.4327
 utinu 	=ewẽ	-21.4452
 ipinam	=ewẽ	-21.7076
 inaida	=ewẽ	-21.8192
a jadik	=ewẽ	-22.5743
a inajar	=ewẽ	-23.1623
 jadiki	=ewẽ	-23.3653
 unakana	=ewẽ	-24.1169
a dada u	=ewẽ	-24.3766
 ipinama	=ewẽ	-24.5735
 dada ut	=ewẽ	-24.8074
 utinu i	=ewẽ	-24.9321
a jadiki	=ewẽ	-26.0336
 jadikit	Jaɲ	-26.7848
