lost	known	score
 un	*uksi	-6.2899
 da	*ma	-8.5131
 ja	*ma	-8.5131
 sa	*ma	-8.5131
 ut	*urt	-9.168
 in	*ebr	-9.1873
a u	*urt	-9.1873
 una	*krua	-9.851
 id	*kð-	-11.1872
 ip	*kð-	-11.1872
 it	*kð-	-11.1872
a d	*kð-	-11.1872
a i	*kð-	-11.1872
a j	*kð-	-11.1872
a s	*kð-	-11.1872
 ina	*pi-	-11.2308
a da	*ma	-11.4654
a ja	*ma	-11.4654
a sa	*ma	-11.4654
 dad	*ar	-12.04
 jad	*ar	-12.04
 jas	*ar	-12.04
 sar	*ar	-12.04
a ut	*urt	-12.0622
 unaka	*ma	-12.1082
 utin	*uksi	-12.3228
 uti	*urt	-12.328
 unak	*jnem	-12.3322
a in	*ebr	-12.3624
 idi	*kð-	-13.8616
 ipi	*kð-	-13.8616
 iti	*kð-	-13.8616
 inai	*pi-	-14.1247
 inaj	*pi-	-14.1247
a ina	*pi-	-14.1757
 unakan	*pana-	-14.2096
 dada	*ma	-14.3009
 jasa	*ma	-14.3009
 sara	*ma	-14.3009
 jadik	*jnem	-14.8363
a dad	*kwar	-14.8986
a jad	*ma	-15.0269
a sar	*ma	-15.0269
 jadi	*ar	-15.2152
 ipin	*ebr	-15.6536
 utinu	*uksi	-15.8989
a inaj	*pi-	-17.0789
 unakana	*pana-	-17.0981
a dada	*kwar	-17.2761
 ipina	*pi-	-17.2773
 saram	*kbo-	-17.2799
 inaid	*pi-	-17.2903
 inaja	*pi-	-17.2903
 dada 	*kwar	-17.4318
 jasas	*mara-	-17.4332
a sara	*ma	-17.436
 sarame	*ariʃ	-17.8242
 jadiki	*jnem	-18.1255
a jadik	*jnem	-18.1296
a jadi	*ar	-18.3895
 dada u	*al- (?)	-19.3696
 jasasa	*al- (?)	-19.3696
 utinu 	*uksi	-19.4721
 ipinam	*pi-	-20.1875
a inaja	*pi-	-20.2519
a dada 	*al- (?)	-20.2677
a saram	*al- (?)	-20.2677
 inajar	*mara-	-20.3781
 inaida	*pi-	-20.5679
 inajare	*ariʃ	-20.9598
a sarame	*ariʃ	-21.0825
 jasasar	*al- (?)	-21.2348
 dada ut	*al- (?)	-21.2349
 sarame 	*al- (?)	-21.2349
 jadikit	*al- (?)	-21.2651
a jadiki	*jnem	-21.4191
a dada u	*al- (?)	-22.1429
a inajar	*al- (?)	-22.7942
 utinu i	*uksi	-23.0423
 ipinama	*al- (?)	-23.3391
