linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-*301-wa-e-a-di	iΘwaeadi	oboba	-20.9886	oboba (-20.99); zu (-21.72); otxo (-22.48)	8
i-*301-wa-e-a-di-k	iΘwaeadik	ɡuɡul	-21.4931	ɡuɡul (-21.49); ɡul (-21.73); ɡor (-21.73)	9
i-*301-wa-e-a-di-ki	iΘwaeadiki	ɡuɡul	-24.9945	ɡuɡul (-24.99); bur (-25.23); ɡor (-25.23)	10
i-*301-wa-j	iΘwaj	opl	-13.2301	opl (-13.23); oqar (-13.25); mol (-14.56)	5
i-*301-wa-ja	iΘwaja	opl	-16.7224	opl (-16.72); oqar (-16.75); jor (-18.04)	6
i-*301-wa-ja-a	iΘwajaa	opl	-20.2144	opl (-20.21); oqar (-20.25); mol (-21.52)	7
i-*301-wa-ja-a-d	iΘwajaad	lumb	-21.5189	lumb (-21.52); rɡ (-21.72); brɡ (-23.53)	8
i-*301-wa-ja-a-di	iΘwajaadi	oboba	-24.4926	oboba (-24.49); lumb (-25.00); nu (-25.23)	9
i-*301-wa-ja-a-di-k	iΘwajaadik	ɡuɡul	-24.9713	ɡuɡul (-24.97); ɡor (-25.23); bur (-25.23)	10
i-*301-wa-ja-a-j	iΘwajaaj	oqar	-22.7357	oqar (-22.74); opl (-22.77); mol (-23.85)	8
i-*301-wa-ja-a-ja	iΘwajaaja	oqar	-26.2409	oqar (-26.24); opl (-26.27); rum (-27.34)	9
i-*301-wa-ja-j	iΘwajaj	oqar	-19.3347	oqar (-19.33); opl (-19.36); rum (-20.49)	7
i-*301-wa-ja-ja	iΘwajaja	oqar	-22.84	oqar (-22.84); opl (-22.86); rum (-23.98)	8
i-*301-wa-ja-ja-a	iΘwajajaa	oqar	-26.3449	oqar (-26.34); opl (-26.36); rum (-27.47)	9
i-*301-wa-ja-ja-d	iΘwajajad	lumb	-23.9799	lumb (-23.98); rɡ (-24.55); brɡ (-26.22)	9
i-*301-wa-ja-ja-di	iΘwajajadi	lumb	-27.4697	lumb (-27.47); oboba (-28.00); nu (-28.05)	10
