linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-*301-wa-ja-a-di	iΘwajaadi	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-24.84); *jnem (-25.45)	9
i-*301-wa-ja-a-di-k	iΘwajaadik	γίσσα	-26.2798	γίσσα (-26.28); pjdl (-27.49); κόον / κοῖον (-27.97)	10
i-*301-wa-ja-a-j	iΘwajaaj	γίσσα	-20.7122	γίσσα (-20.71); *wli/jat (-23.32); γέl̩α (-23.42)	8
i-*301-wa-ja-a-ja	iΘwajaaja	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); †σωðαρ- (-26.30)	9
i-*301-wa-ja-j	iΘwajaj	γίσσα	-18.1288	γίσσα (-18.13); *wli/jat (-20.18); γέl̩α (-20.59)	7
i-*301-wa-ja-ja	iΘwajaja	γίσσα	-20.7122	γίσσα (-20.71); *wli/jat (-23.15); γέl̩α (-23.42)	8
i-*301-wa-ja-ja-a	iΘwajajaa	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); *wli/jat (-26.30)	9
i-*301-wa-ja-ja-d	iΘwajajad	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-23.98); *jnem (-24.82)	9
i-*301-wa-ja-ja-di	iΘwajajadi	γίσσα	-26.2798	γίσσα (-26.28); †=n / ɲ (-27.47); κόον / κοῖον (-27.97)	10
i-*301-wa-ja-ja-i	iΘwajajai	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); *wli/jat (-26.30)	9
i-*301-wa-ja-ja-i-n	iΘwajajain	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
i-*301-wa-ja-ja-j	iΘwajajaj	γίσσα	-23.4428	γίσσα (-23.44); *wli/jat (-25.93); *al- (?) (-26.13)	9
i-*301-wa-ja-ja-ja	iΘwajajaja	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
i-*301-wa-ja-ja-s	iΘwajajas	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); *wli/jat (-26.30)	9
i-*301-wa-ja-ja-sa	iΘwajajasa	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
i-*301-wa-ja-s	iΘwajas	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); *wli/jat (-20.90)	7
i-*301-wa-ja-se	iΘwajase	γίσσα	-20.7122	γίσσα (-20.71); †=n / ɲ (-21.36); *jnem (-22.17)	8
i-*301-wa-ja-se-k	iΘwajasek	γίσσα	-23.4428	γίσσα (-23.44); pjdl (-23.99); †=n / ɲ (-24.84)	9
i-*301-wa-ja-se-ka	iΘwajaseka	γίσσα	-26.2798	γίσσα (-26.28); †=l̩ (-26.30); pjdl (-27.49)	10
i-*301-wa-ja-t	iΘwajat	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); *wli/jat (-20.90)	7
i-*301-wa-ja-tu	iΘwajatu	†=ð	-20.2271	†=ð (-20.23); γίσσα (-20.71); γέl̩α (-23.42)	8
i-*301-wa-ja-tu-r	iΘwajatur	γίσσα	-23.4428	γίσσα (-23.44); †=ð (-23.73); βάνðα (-25.42)	9
i-*301-wa-ja-tu-ru	iΘwajaturu	†=ð	-26.2482	†=ð (-26.25); γίσσα (-26.28); κόον / κοῖον (-27.97)	10
ja-a-di	jaadi	γίσσα	-13.742	γίσσα (-13.74); jsm (-13.85); jbt (-14.21)	5
ja-a-di-k	jaadik	pjdl	-15.0189	pjdl (-15.02); γίσσα (-15.76); γέl̩α (-16.93)	6
ja-a-di-ki	jaadiki	†=l̩	-16.7976	†=l̩ (-16.80); γίσσα (-18.13); pjdl (-18.53)	7
ja-a-di-ki-t	jaadikit	γέl̩α	-19.5919	γέl̩α (-19.59); †=l̩ (-19.62); γίσσα (-20.71)	8
ja-a-di-ki-te	jaadikite	†=n / ɲ	-20.8893	†=n / ɲ (-20.89); ml̩n (-21.88); γέl̩α (-22.05)	9
ja-a-di-ki-te-s	jaadikites	†=n / ɲ	-24.3801	†=n / ɲ (-24.38); γέl̩α (-24.88); ml̩n (-25.38)	10
ja-a-ja	jaaja	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=k̑ (-15.51)	5
ja-di-k	jadik	pjdl	-11.5447	pjdl (-11.54); γίσσα (-13.74); jbt (-13.88)	5
ja-di-ki	jadiki	†=l̩	-13.7946	†=l̩ (-13.79); pjdl (-15.05); γίσσα (-15.76)	6
ja-di-ki-t	jadikit	γέl̩α	-16.5915	γέl̩α (-16.59); †=l̩ (-16.62); ἄl̩α (-17.65)	7
ja-di-ki-tu	jadikitu	γέl̩α	-19.05	γέl̩α (-19.05); †=l̩ (-19.72); ἄl̩α (-20.11)	8
ja-di-ki-tu-j	jadikituj	βάνðα	-21.8786	βάνðα (-21.88); γέl̩α (-21.88); ἄl̩α (-22.94)	9
ja-di-ki-tu-ja	jadikituja	βάνðα	-24.7026	βάνðα (-24.70); γέl̩α (-24.88); ἄl̩α (-25.95)	10
ja-i-n-w	jainw	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=l̩ (-15.51)	5
ja-i-nwa	jainwa	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=k̑ (-18.34)	6
ja-i-nwa-z	jainwaz	γίσσα	-18.1288	γίσσα (-18.13); jzpe (-19.14); jrdso[-]i (-19.28)	7
ja-i-nwa-za	jainwaza	γίσσα	-20.7122	γίσσα (-20.71); jzpe (-22.65); jrdso[-]i (-22.78)	8
ja-i-nwa-za-*56	jainwazaΦ	*ar	-23.2127	*ar (-23.21); γίσσα (-23.44); †=n / ɲ (-23.98)	9
ja-i-nwa-za-*56-n	jainwazaΦn	*ur°	-26.0562	*ur° (-26.06); γίσσα (-26.28); *ar (-26.72)	10
ja-ja-a	jajaa	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); jbt (-15.38)	5
ja-ja-d	jajad	*jnem	-12.6257	*jnem (-12.63); jsm (-13.20); *jbrs (-13.66)	5
ja-ja-di	jajadi	γίσσα	-15.7621	γίσσα (-15.76); *jnem (-15.84); *jbrs (-16.47)	6
ja-ja-di-k	jajadik	pjdl	-17.2044	pjdl (-17.20); γίσσα (-18.13); *jnem (-19.12)	7
ja-ja-di-ki	jajadiki	†=l̩	-19.903	†=l̩ (-19.90); pjdl (-20.71); γίσσα (-20.71)	8
ja-ja-di-ki-t	jajadikit	γέl̩α	-22.6938	γέl̩α (-22.69); †=l̩ (-22.73); γίσσα (-23.44)	9
ja-ja-di-ki-tu	jajadikitu	γέl̩α	-25.1573	γέl̩α (-25.16); †=l̩ (-25.83); γίσσα (-26.28)	10
ja-ja-i	jajai	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); jbt (-15.38)	5
ja-ja-i-n	jajain	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=l̩ (-18.34)	6
ja-ja-i-n-w	jajainw	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); †σωðαρ- (-21.18)	7
ja-ja-i-nwa	jajainwa	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
ja-ja-i-nwa-z	jajainwaz	γίσσα	-23.4428	γίσσα (-23.44); jrdso[-]i (-24.39); jzpe (-25.30)	9
ja-ja-i-nwa-za	jajainwaza	γίσσα	-26.2798	γίσσα (-26.28); jrdso[-]i (-27.90); κόον / κοῖον (-27.97)	10
ja-ja-j	jajaj	γίσσα	-13.742	γίσσα (-13.74); jbt (-15.27); jsm (-15.27)	5
ja-ja-ja	jajaja	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=l̩ (-18.34)	6
ja-ja-ja-w	jajajaw	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); †σωðαρ- (-21.18)	7
ja-ja-ja-wa	jajajawa	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
ja-ja-s	jajas	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); jbt (-15.38)	5
ja-ja-sa	jajasa	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=l̩ (-18.34)	6
ja-ja-sa-s	jajasas	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); †σωðαρ- (-21.18)	7
ja-ja-sa-sa	jajasasa	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
ja-ja-sa-sa-r	jajasasar	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); †σωðαρ- (-26.30)	9
ja-ja-sa-sa-ra	jajasasara	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
ja-ja-w	jajaw	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); jbt (-15.38)	5
ja-ja-wa	jajawa	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=l̩ (-18.34)	6
ja-re-d	jared	*kʷrd	-12.7312	*kʷrd (-12.73); jsm (-13.09); *ebr (-13.37)	5
ja-re-di	jaredi	*mn-	-13.7964	*mn- (-13.80); γίσσα (-15.76); *kʷrd (-16.23)	6
ja-re-di-j	jaredij	*mn-	-16.6234	*mn- (-16.62); γίσσα (-18.13); γrds ? (-19.01)	7
ja-re-di-ja	jaredija	*mn-	-19.728	*mn- (-19.73); γίσσα (-20.71); γrds ? (-21.52)	8
ja-re-t	jaret	γίσσα	-13.742	γίσσα (-13.74); jsm (-13.85); jbt (-14.21)	5
ja-re-ta	jareta	γίσσα	-15.7621	γίσσα (-15.76); jsm (-17.33); jbt (-17.36)	6
ja-sa-s	jasas	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=l̩ (-15.51)	5
ja-sa-sa	jasasa	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=k̑ (-18.34)	6
ja-sa-sa-r	jasasar	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); †σωðαρ- (-21.18)	7
ja-sa-sa-ra	jasasara	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
ja-sa-sa-ra-m	jasasaram	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); †σωðαρ- (-26.30)	9
ja-sa-sa-ra-ma	jasasarama	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
ja-sa-sa-ra-me	jasasarame	γίσσα	-26.2798	γίσσα (-26.28); †=n / ɲ (-26.73); κόον / κοῖον (-27.97)	10
ja-sa-u	jasau	†=ð	-10.9425	†=ð (-10.94); γίσσα (-13.74); γέl̩α (-15.31)	5
ja-sa-u-n	jasaun	†=ð	-14.448	†=ð (-14.45); γίσσα (-15.76); βάνðα (-16.51)	6
ja-sa-u-na	jasauna	†=ð	-17.9525	†=ð (-17.95); γίσσα (-18.13); βάνðα (-19.33)	7
ja-sa-u-na-k	jasaunak	γίσσα	-20.7122	γίσσα (-20.71); †=ð (-21.46); †σωðαρ- (-21.76)	8
ja-sa-u-na-ka	jasaunaka	†=l̩	-23.0758	†=l̩ (-23.08); γίσσα (-23.44); †σωðαρ- (-24.04)	9
ja-sa-u-na-ka-n	jasaunakan	γέl̩α	-25.8624	γέl̩α (-25.86); †=l̩ (-25.90); γίσσα (-26.28)	10
ja-se-k	jasek	pjdl	-11.515	pjdl (-11.52); γίσσα (-13.74); jsm (-13.85)	5
ja-se-ka	jaseka	†=l̩	-13.7946	†=l̩ (-13.79); pjdl (-15.02); γίσσα (-15.76)	6
ja-se-ka-n	jasekan	γέl̩α	-16.5915	γέl̩α (-16.59); †=l̩ (-16.62); ἄl̩α (-17.65)	7
ja-se-ka-na	jasekana	γέl̩α	-19.05	γέl̩α (-19.05); †=l̩ (-19.72); ἄl̩α (-20.11)	8
ja-se-ka-na-s	jasekanas	γέl̩α	-21.8803	γέl̩α (-21.88); ἄl̩α (-22.94); †=l̩ (-22.94)	9
ja-se-ka-na-si	jasekanasi	γέl̩α	-24.8844	γέl̩α (-24.88); ἄl̩α (-25.95); †=l̩ (-26.23)	10
