linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
*301-ti-ja-sa-sa	Θtijasasa	a(i)-(di)	-26.7627	a(i)-(di) (-26.76); ada- (-27.27); ad- (-27.42)	9
*301-ti-ja-sa-sa-r	Θtijasasar	a(i)-(di)	-29.3094	a(i)-(di) (-29.31); ite(/i)- (-30.34); asa-(ti) (-30.50)	10
*301-u-ti-n	Θutin	Masa	-14.6363	Masa (-14.64); Tele (-14.65); =ewẽ (-14.65)	5
*301-u-ti-nu	Θutinu	ada-	-17.8354	ada- (-17.84); Masa (-17.93); =ewẽ (-17.94)	6
*301-u-ti-nu-j	Θutinuj	ada-	-20.9365	ada- (-20.94); Masa (-21.26); =ewẽ (-21.27)	7
*301-u-ti-nu-ja	Θutinuja	ada-	-24.1125	ada- (-24.11); ax- (-24.47); ad- (-24.47)	8
*301-u-ti-nu-ja-s	Θutinujas	ada-	-27.338	ada- (-27.34); kʷa-(ti) (-27.39); ite(/i)- (-27.60)	9
*301-u-ti-nu-ja-sa	Θutinujasa	kʷa-(ti)	-30.2188	kʷa-(ti) (-30.22); a(i)-(di) (-30.26); ite(/i)- (-30.32)	10
*301-wa-e-a	Θwaea	ti-	-9.8638	ti- (-9.86); xi- (-9.86); =ti (-9.86)	5
*301-wa-e-a-d	Θwaead	xi-	-12.6882	xi- (-12.69); ti- (-12.69); =ti (-13.37)	6
*301-wa-e-a-di	Θwaeadi	tis-	-13.368	tis- (-13.37); ti- (-15.79); xi- (-15.79)	7
*301-wa-e-a-di-k	Θwaeadik	tis-	-16.1925	tis- (-16.19); win(i)- (-18.72); xi- (-19.02)	8
*301-wa-e-a-di-ki	Θwaeadiki	tis-	-19.2981	tis- (-19.30); win(i)- (-20.82); kəm.me (-22.00)	9
*301-wa-e-a-di-ki-t	Θwaeadikit	tise	-21.0436	tise (-21.04); pise (-21.04); kəm.me (-21.55)	10
*301-wa-ja	Θwaja	xb-	-14.2285	xb- (-14.23); xɲt- (-14.57); xtt- (-14.57)	5
*301-wa-ja-a	Θwajaa	kʷla-	-17.3261	kʷla- (-17.33); xb- (-17.36); xɲt- (-17.63)	6
*301-wa-ja-a-d	Θwajaad	kʷãn	-17.827	kʷãn (-17.83); trus (-19.17); t͡seus (-19.83)	7
*301-wa-ja-a-di	Θwajaadi	kʷãn	-21.3199	kʷãn (-21.32); tem-/m̃m- (-21.85); kʷexn͂n- (-21.91)	8
*301-wa-ja-a-di-k	Θwajaadik	tem-/m̃m-	-24.4074	tem-/m̃m- (-24.41); kʷexn͂n- (-24.58); tsas- (-24.75)	9
*301-wa-ja-a-di-ki	Θwajaadiki	tem-/m̃m-	-27.2379	tem-/m̃m- (-27.24); kʷexn͂n- (-27.51); xθθã(n)- (-27.56)	10
*301-wa-ja-a-j	Θwajaaj	kʷla-	-20.153	kʷla- (-20.15); xb- (-20.55); xtt- (-20.78)	7
