linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
i-*301-wa-ja	iΘwaja	𒌷𒆷𒊍𒉺	-15.6764	𒌷𒆷𒊍𒉺 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68)	6
i-*301-wa-ja-a	iΘwajaa	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒈪𒋫𒀭𒉌 (-18.37)	7
i-*301-wa-ja-a-d	iΘwajaad	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
i-*301-wa-ja-a-di	iΘwajaadi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
i-*301-wa-ja-a-di-k	iΘwajaadik	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
i-*301-wa-ja-a-j	iΘwajaaj	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); eːʃ (-21.02)	8
i-*301-wa-ja-a-ja	iΘwajaaja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
i-*301-wa-ja-j	iΘwajaj	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); eːʃ (-18.15)	7
i-*301-wa-ja-ja	iΘwajaja	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒆷𒊍𒉺 (-21.21)	8
i-*301-wa-ja-ja-a	iΘwajajaa	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
i-*301-wa-ja-ja-d	iΘwajajad	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
i-*301-wa-ja-ja-di	iΘwajajadi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
i-*301-wa-ja-ja-i	iΘwajajai	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
i-*301-wa-ja-ja-i-n	iΘwajajain	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
i-*301-wa-ja-ja-j	iΘwajajaj	xuːʃ	-21.7094	xuːʃ (-21.71); xuːxːaːʃ (-21.92); taːʃːuːʃ (-21.97)	9
i-*301-wa-ja-ja-ja	iΘwajajaja	xuːʃ	-25.2119	xuːʃ (-25.21); xuːxːaːʃ (-25.39); taːʃːuːʃ (-25.46)	10
i-*301-wa-ja-ja-s	iΘwajajas	uːxːi	-22.2677	uːxːi (-22.27); uxːi (-23.05); 𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41)	9
i-*301-wa-ja-ja-sa	iΘwajajasa	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); uːxːi (-25.76); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
