linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	po	-9.8249	po (-9.82); paːʈu (-10.43); aʈʈu (-10.48)	5
a-a-di-ki	aadiki	poːr	-12.689	poːr (-12.69); pokaj (-13.27); po (-13.33)	6
a-a-di-ki-t	aadikit	puli	-16.022	puli (-16.02); pula (-16.02); ajja (-16.08)	7
a-a-di-ki-te	aadikite	put̪a-	-16.5818	put̪a- (-16.58); pera- (-17.70); putʃa- (-18.72)	8
a-a-di-ki-te-s	aadikites	put̪a-	-19.4052	put̪a- (-19.41); pera- (-20.53); putʃa- (-21.54)	9
a-a-di-ki-te-si	aadikitesi	paːraj	-20.5645	paːraj (-20.56); poːr (-21.82); piːr (-22.50)	10
a-da-da	adada	poʈʈ-	-11.6185	poʈʈ- (-11.62); putʃ (-11.89); patʃ- (-11.92)	5
a-da-da-u	adadau	poʈʈ-	-12.476	poʈʈ- (-12.48); patʃ- (-14.35); pitʃtʃ- (-15.17)	6
a-da-da-u-t	adadaut	peʈʈi	-13.1782	peʈʈi (-13.18); poʈʈ- (-15.33); appa (-15.88)	7
a-da-da-u-ti	adadauti	muːʈʈaj	-16.6616	muːʈʈaj (-16.66); peʈʈi (-16.69); paːʈa- (-17.21)	8
a-da-da-u-ti-n	adadautin	paːʈa-	-20.0358	paːʈa- (-20.04); muːʈʈaj (-20.17); peʈʈi (-20.19)	9
a-da-da-u-ti-nu	adadautinu	paːʈa-	-23.135	paːʈa- (-23.14); muːʈʈaj (-23.68); peʈʈi (-23.70)	10
a-da-u-t	adaut	peʈʈi	-9.6952	peʈʈi (-9.70); appa (-10.45); poʈʈ- (-11.87)	5
a-da-u-ti	adauti	paːʈa-	-11.9719	paːʈa- (-11.97); -aj (-12.00); -ar (-12.00)	6
a-da-u-ti-n	adautin	paːʈa-	-14.7809	paːʈa- (-14.78); pera- (-15.34); putʃa- (-15.45)	7
a-da-u-ti-nu	adautinu	paːʈa-	-17.8613	paːʈa- (-17.86); pera- (-18.08); tʃir- (-18.29)	8
a-da-u-ti-nu-i	adautinui	piːr	-18.5965	piːr (-18.60); paːraj (-20.66); pera- (-20.98)	9
a-da-u-ti-nu-i-n	adautinuin	piːr	-22.103	piːr (-22.10); paːraj (-23.94); pera- (-23.97)	10
a-da-wa	adawa	poʈʈ-	-11.6185	poʈʈ- (-11.62); putʃ (-11.89); patʃ- (-11.92)	5
a-da-wa-i	adawai	poʈʈ-	-12.476	poʈʈ- (-12.48); piːr (-14.00); poːr (-14.00)	6
a-da-wa-i-j	adawaij	poʈʈ-	-15.3253	poʈʈ- (-15.33); patʃ- (-17.35); piːr (-17.50)	7
a-da-wa-i-ja	adawaija	poʈʈ-	-18.4185	poʈʈ- (-18.42); patʃ- (-20.51); piːr (-21.01)	8
a-di-ki	adiki	poːr	-9.9832	poːr (-9.98); pokaj (-10.46); po (-10.52)	5
a-di-ki-t	adikit	ajja	-12.8635	ajja (-12.86); puli (-13.21); pula (-13.21)	6
a-di-ki-te	adikite	put̪a-	-13.7909	put̪a- (-13.79); pera- (-15.03); putʃa- (-16.13)	7
a-di-ki-te-s	adikites	put̪a-	-16.6143	put̪a- (-16.61); pera- (-17.85); t̪oramp- (-18.75)	8
a-di-ki-te-si	adikitesi	paːraj	-18.0348	paːraj (-18.03); poːr (-19.00); piːr (-19.69)	9
a-di-ki-te-si-r	adikitesir	paːraj	-21.5359	paːraj (-21.54); jaːh (-22.11); poːr (-22.51)	10
a-di-ki-te-t	adikitet	put̪a-	-16.6057	put̪a- (-16.61); pera- (-17.84); t̪oramp- (-18.74)	8
a-di-ki-te-te	adikitete	put̪a-	-19.4051	put̪a- (-19.41); pera- (-20.59); t̪oramp- (-21.41)	9
a-di-ki-te-te-r	adikiteter	jaːh	-21.8247	jaːh (-21.82); put̪a- (-22.50); pera- (-23.67)	10
a-di-ki-tu	adikitu	put̪a-	-13.7909	put̪a- (-13.79); pera- (-15.03); putʃa- (-16.13)	7
a-di-ki-tu-j	adikituj	put̪a-	-16.6143	put̪a- (-16.61); pera- (-17.85); t̪oramp- (-18.75)	8
a-di-ki-tu-ja	adikituja	put̪a-	-19.7194	put̪a- (-19.72); pera- (-20.95); t̪oramp- (-21.34)	9
a-di-ki-tu-ja-s	adikitujas	t̪oramp-	-22.1944	t̪oramp- (-22.19); put̪a- (-22.94); pera- (-24.17)	10
a-e-a-di	aeadi	poːr	-11.0447	poːr (-11.04); piːr (-11.04); poʈʈ- (-11.87)	5
a-e-a-di-k	aeadik	paːʈu	-12.6184	paːʈu (-12.62); po (-13.33); aʈʈu (-13.95)	6
a-e-a-di-ki	aeadiki	poːr	-16.0673	poːr (-16.07); paːʈu (-16.13); pokaj (-16.77)	7
a-e-a-di-ki-t	aeadikit	ajja	-19.3678	ajja (-19.37); poːr (-19.51); puli (-19.52)	8
a-e-a-di-ki-te	aeadikite	put̪a-	-20.0638	put̪a- (-20.06); pera- (-21.08); putʃa- (-22.04)	9
a-e-a-di-ki-te-t	aeadikitet	put̪a-	-22.8788	put̪a- (-22.88); pera- (-23.89); putʃa- (-24.85)	10
a-i-da-a	aidaa	poʈʈ-	-11.7248	poʈʈ- (-11.72); putʃ (-11.88); patʃ- (-12.18)	5
a-i-da-a-u	aidaau	poʈʈ-	-12.1369	poʈʈ- (-12.14); patʃ- (-14.42); jaɳʈ- (-14.89)	6
a-i-da-j	aidaj	poʈʈ-	-12.1407	poʈʈ- (-12.14); patʃ- (-12.21); jaɳʈ- (-12.63)	5
a-i-da-ja	aidaja	poʈʈ-	-14.7207	poʈʈ- (-14.72); patʃ- (-15.01); putʃ (-15.16)	6
a-i-da-ja-s	aidajas	poʈʈ-	-15.5955	poʈʈ- (-15.60); patʃ- (-17.55); jaɳʈ- (-18.03)	7
a-i-na-j	ainaj	poʈʈ-	-12.1407	poʈʈ- (-12.14); patʃ- (-12.21); jaɳʈ- (-12.63)	5
a-i-na-ja	ainaja	poʈʈ-	-14.7207	poʈʈ- (-14.72); patʃ- (-15.01); putʃ (-15.16)	6
a-i-na-ja-r	ainajar	poʈʈ-	-15.5955	poʈʈ- (-15.60); patʃ- (-17.55); jaːh (-17.83)	7
a-i-na-ja-re	ainajare	poʈʈ-	-18.4456	poʈʈ- (-18.45); patʃ- (-20.58); jaɳʈ- (-21.07)	8
a-i-na-ja-re-t	ainajaret	peʈʈi	-19.8036	peʈʈi (-19.80); poʈʈ- (-21.56); appa (-22.71)	9
a-i-na-ja-re-ta	ainajareta	peʈʈi	-23.2806	peʈʈi (-23.28); paːʈa- (-23.76); kaʈ (-24.54)	10
a-i-nwa	ainwa	putʃ	-12.5618	putʃ (-12.56); piːr (-13.94); poːr (-13.94)	5
a-i-nwa-z	ainwaz	paːl	-14.291	paːl (-14.29); poʈʈ- (-15.35); patʃ- (-15.39)	6
a-i-nwa-za	ainwaza	putʃ	-15.6576	putʃ (-15.66); pitʃtʃ- (-15.94); pin̪tʃtʃar (-16.81)	7
a-i-nwa-za-*56	ainwazaΦ	pitʃtʃ-	-15.4112	pitʃtʃ- (-15.41); peːtʃ- (-17.14); piɻatʃtʃ- (-17.90)	8
a-i-nwa-za-*56-n	ainwazaΦn	pitʃtʃ-	-18.2339	pitʃtʃ- (-18.23); peːtʃ- (-19.97); piɻatʃtʃ- (-20.72)	9
a-i-nwa-za-*56-ni	ainwazaΦni	pitʃtʃ-	-21.3383	pitʃtʃ- (-21.34); pin̪tʃtʃar (-22.65); peːtʃ- (-23.07)	10
a-i-*301-ti	aiΘti	paːraj	-6.9565	paːraj (-6.96); -aj (-8.78); -ar (-8.78)	5
a-i-*301-ti-j	aiΘtij	paːraj	-10.462	paːraj (-10.46); pera- (-11.90); -ar (-12.29)	6
a-i-*301-ti-ja	aiΘtija	paːraj	-13.9671	paːraj (-13.97); pera- (-14.79); jaː- (-15.12)	7
a-i-*301-ti-ja-s	aiΘtijas	paːraj	-17.4718	paːraj (-17.47); pera- (-17.84); jaː- (-17.95)	8
a-i-*301-ti-ja-sa	aiΘtijasa	paːʈa-	-20.7693	paːʈa- (-20.77); peʈʈi (-20.91); peːtʃ- (-20.95)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	peːtʃ-	-23.4471	peːtʃ- (-23.45); paːʈa- (-23.52); peʈʈi (-23.75)	10
a-i-*301-u-j	aiΘuj	piːr	-13.9398	piːr (-13.94); poːr (-13.94); jaː- (-14.21)	5
a-i-*301-u-ja	aiΘuja	putʃ	-15.8315	putʃ (-15.83); jaː- (-16.98); piːr (-17.41)	6
a-i-*301-u-t	aiΘut	paɻa	-12.3489	paɻa (-12.35); puli (-12.56); pula (-12.56)	5
a-i-*301-u-ti	aiΘuti	paːraj	-10.4461	paːraj (-10.45); -aj (-12.00); -ar (-12.00)	6
a-i-*301-u-ti-n	aiΘutin	paːraj	-13.9514	paːraj (-13.95); pera- (-15.39); -aj (-15.51)	7
a-i-*301-u-ti-nu	aiΘutinu	paːraj	-17.4563	paːraj (-17.46); pera- (-18.29); jaː- (-18.62)	8
a-i-*301-u-ti-nu-j	aiΘutinuj	paːraj	-20.9608	paːraj (-20.96); pera- (-21.34); jaː- (-21.45)	9
a-i-*301-u-ti-nu-ja	aiΘutinuja	jaː-	-24.4588	jaː- (-24.46); paːraj (-24.46); pera- (-24.48)	10
a-i-*301-wa	aiΘwa	putʃ	-12.5618	putʃ (-12.56); piːr (-13.94); poːr (-13.94)	5
