linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
e-i-ke-ta	eiketa	aran	-17.4479	aran (-17.45); tan (-17.50); ai (-19.07)	6
e-i-ke-ta-n	eiketan	aran	-20.9447	aran (-20.94); tan (-21.00); ai (-22.45)	7
e-i-ke-ta-na	eiketana	aran	-24.4397	aran (-24.44); tan (-24.51); ai (-25.84)	8
e-i-ke-ta-na-i	eiketanai	ai	-24.5388	ai (-24.54); hadiwe (-25.97); apa (-26.03)	9
e-i-ke-ta-na-i-*301	eiketanaiΘ	ai	-28.0451	ai (-28.05); hadiwe (-29.35); epi (-29.53)	10
e-ka-na	ekana	tan	-18.0891	tan (-18.09); teuta (-19.10); dasta (-19.25)	5
e-ka-na-s	ekanas	ma	-20.8624	ma (-20.86); tan (-21.58); dazimas (-22.08)	6
e-ka-na-si	ekanasi	ma	-17.5324	ma (-17.53); hadiwe (-19.99); dasta (-21.68)	7
e-ka-na-si-s	ekanasis	ma	-21.0387	ma (-21.04); dazimas (-23.14); hadiwe (-23.30)	8
e-ka-na-si-si	ekanasisi	hadiwe	-21.5462	hadiwe (-21.55); dazimas (-23.28); bilia (-23.37)	9
e-ka-na-si-si-r	ekanasisir	hadiwe	-25.0533	hadiwe (-25.05); tabara (-25.90); tabaras (-26.00)	10
e-ra-te	erate	zis	-16.0745	zis (-16.07); aran (-18.83); ti (-19.32)	5
e-si-ra	esira	bilia	-9.7751	bilia (-9.78); beran (-9.78); ma (-10.52)	5
e-ta-na	etana	teuta	-19.1007	teuta (-19.10); ti (-19.32); ai (-19.32)	5
e-ta-na-i	etanai	teuta	-19.0328	teuta (-19.03); ai (-19.07); epi (-19.15)	6
e-ta-na-i-*301	etanaiΘ	ai	-22.4476	ai (-22.45); epi (-22.51); apa (-22.51)	7
e-ta-na-i-*301-t	etanaiΘt	ai	-25.8371	ai (-25.84); epi (-25.88); apa (-25.88)	8
e-ta-na-i-*301-ti	etanaiΘti	ai	-24.5388	ai (-24.54); tai (-26.20); apa (-26.78)	9
e-ta-na-i-*301-ti-j	etanaiΘtij	ai	-28.0451	ai (-28.05); tai (-29.70); epi (-30.27)	10
e-te-re	etere	zis	-16.7879	zis (-16.79); aran (-18.86); beran (-19.10)	5
e-te-re-p	eterep	zis	-16.723	zis (-16.72); mazzes (-18.97); kos (-19.15)	6
e-to-i-j	etoij	ai	-15.7212	ai (-15.72); apa (-15.85); epi (-15.85)	5
e-to-i-ja	etoija	dasta	-19.0189	dasta (-19.02); ai (-19.07); apa (-19.17)	6
e-tu-me	etume	ti	-19.3208	ti (-19.32); ai (-19.32); ma (-19.32)	5
e-tu-me-i	etumei	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
e-tu-me-i-j	etumeij	ai	-22.4476	ai (-22.45); apa (-22.51); epi (-22.51)	7
e-tu-me-i-ja	etumeija	ai	-25.8371	ai (-25.84); apa (-25.88); epi (-25.88)	8
e-tu-me-i-ja-s	etumeijas	ai	-29.2391	ai (-29.24); apa (-29.27); epi (-29.27)	9
e-tu-me-i-ja-sa	etumeijasa	ai	-32.6513	ai (-32.65); apa (-32.67); epi (-32.67)	10
e-u-na-k	eunak	tan	-16.7263	tan (-16.73); aran (-18.48); teuta (-19.10)	5
e-u-na-ka	eunaka	tan	-20.229	tan (-20.23); aran (-21.97); teuta (-22.30)	6
e-u-na-ka-n	eunakan	tan	-23.7308	tan (-23.73); teuta (-25.11); aran (-25.45)	7
e-u-na-ka-na	eunakana	tan	-27.2317	tan (-27.23); teuta (-28.20); aran (-28.93)	8
e-u-na-ka-na-s	eunakanas	tan	-30.7318	tan (-30.73); ma (-31.30); teuta (-31.41)	9
e-u-na-ka-na-si	eunakanasi	ma	-28.054	ma (-28.05); hadiwe (-29.19); teuta (-31.41)	10
e-u-na-r	eunar	zis	-17.4797	zis (-17.48); teuta (-19.10); aran (-19.30)	5
e-u-na-ru	eunaru	zis	-20.2902	zis (-20.29); aran (-22.13); teuta (-22.30)	6
e-u-na-ru-k	eunaruk	aran	-22.7216	aran (-22.72); beran (-22.89); berain (-22.99)	7
e-u-na-ru-ka	eunaruka	aran	-26.2017	aran (-26.20); beran (-26.37); berain (-26.49)	8
e-u-na-ru-ka-n	eunarukan	aran	-29.6816	aran (-29.68); beran (-29.85); zis (-29.86)	9
e-u-na-ru-ka-na	eunarukana	aran	-33.1613	aran (-33.16); zis (-33.17); beran (-33.33)	10
i-da-a-u	idaau	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-da-ja	idaja	ai	-15.7212	ai (-15.72); epi (-15.83); apa (-15.83)	5
i-da-ja-j	idajaj	ai	-19.074	ai (-19.07); epi (-19.15); apa (-19.15)	6
i-da-ja-ja	idajaja	ai	-22.4476	ai (-22.45); epi (-22.49); apa (-22.49)	7
i-da-ja-s	idajas	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-i-pi-n	iipin	ai	-9.4203	ai (-9.42); tepise (-10.31); teuta (-10.36)	5
i-i-pi-na	iipina	ai	-12.9276	ai (-12.93); teuta (-13.22); tepise (-13.82)	6
i-i-pi-na-m	iipinam	teuta	-16.328	teuta (-16.33); ai (-16.43); tepise (-17.32)	7
i-i-pi-na-ma	iipinama	teuta	-19.5444	teuta (-19.54); ai (-19.94); tepise (-20.82)	8
i-i-pi-na-ma-i	iipinamai	teuta	-19.5735	teuta (-19.57); tai (-21.03); apistaθi (-21.76)	9
i-i-pi-na-ma-i-n	iipinamain	teuta	-23.0593	teuta (-23.06); tai (-24.53); apistaθi (-25.24)	10
i-ja-re	ijare	aran	-13.2783	aran (-13.28); ai (-15.72); epi (-15.83)	5
i-ja-re-d	ijared	aran	-16.3678	aran (-16.37); ai (-19.07); epi (-19.15)	6
i-ja-re-di	ijaredi	aran	-17.4095	aran (-17.41); ai (-17.53); epi (-19.18)	7
i-ja-re-di-j	ijaredij	aran	-20.2674	aran (-20.27); ai (-21.03); epi (-22.68)	8
i-ja-re-di-ja	ijaredija	aran	-23.3845	aran (-23.38); ai (-24.54); bilia (-26.11)	9
i-ja-sa	ijasa	ai	-15.7212	ai (-15.72); apa (-15.83); epi (-15.83)	5
i-ja-sa-s	ijasas	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-ja-sa-sa	ijasasa	ai	-22.4476	ai (-22.45); apa (-22.49); epi (-22.49)	7
i-ja-sa-sa-r	ijasasar	aran	-24.4555	aran (-24.46); ma (-25.84); ai (-25.84)	8
i-ja-sa-u	ijasau	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
i-ja-sa-u-n	ijasaun	ai	-22.4476	ai (-22.45); apa (-22.49); epi (-22.49)	7
i-ja-sa-u-na	ijasauna	ai	-25.8371	ai (-25.84); apa (-25.85); epi (-25.85)	8
i-ja-sa-u-na-k	ijasaunak	aran	-26.5218	aran (-26.52); tan (-28.49); beran (-28.50)	9
i-ja-sa-u-na-ka	ijasaunaka	aran	-30.0257	aran (-30.03); beran (-31.99); tan (-32.00)	10
i-ke-ta	iketa	aran	-14.6126	aran (-14.61); tan (-14.68); ai (-15.72)	5
i-ke-ta-n	iketan	aran	-18.1002	aran (-18.10); tan (-18.19); ai (-19.07)	6
i-ke-ta-na	iketana	aran	-21.5848	aran (-21.58); tan (-21.69); ai (-22.45)	7
i-ke-ta-na-i	iketanai	ai	-21.0325	ai (-21.03); apa (-22.54); epi (-22.54)	8
i-ke-ta-na-i-*301	iketanaiΘ	ai	-24.5388	ai (-24.54); apa (-26.03); epi (-26.03)	9
