linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-i-*301-ti-ja-s	aiΘtijas	Hutauθaː	-22.0907	Hutauθaː (-22.09); ɡaiθaː (-22.62); aθaga (-22.84)	8
a-i-*301-ti-ja-sa	aiΘtijasa	Hutauθaː	-24.5304	Hutauθaː (-24.53); ɡaiθaː (-25.07); aθaga (-25.41)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	Hutauθaː	-27.3401	Hutauθaː (-27.34); ɡaiθaː (-27.89); aθaⁿɡaʰ (-27.90)	10
a-i-*301-u-j	aiΘuj	DH	-13.9506	DH (-13.95); AM (-13.95); aita (-15.98)	5
a-i-*301-u-ja	aiΘuja	DH	-17.0572	DH (-17.06); AM (-17.06); daθa (-17.57)	6
a-i-*301-u-t	aiΘut	DH	-13.9506	DH (-13.95); AM (-13.95); utaː (-16.09)	5
a-i-*301-u-ti	aiΘuti	AM	-17.0572	AM (-17.06); DH (-17.06); idaː (-19.20)	6
a-i-*301-u-ti-n	aiΘutin	DH	-20.2315	DH (-20.23); AM (-20.23); -ika (-21.84)	7
a-i-*301-u-ti-nu	aiΘutinu	AM	-23.4538	AM (-23.45); DH (-23.45); -paː (-24.69)	8
a-i-*301-u-ti-nu-j	aiΘutinuj	DH	-26.712	DH (-26.71); AM (-26.71); -paː (-27.75)	9
a-i-*301-u-ti-nu-ja	aiΘutinuja	DH	-29.9981	DH (-30.00); AM (-30.00); Hutauθaː (-30.02)	10
a-i-*301-wa	aiΘwa	DH	-13.9506	DH (-13.95); AM (-13.95); aita (-15.98)	5
a-i-*301-wa-e	aiΘwae	Maːhiʃ	-15.7592	Maːhiʃ (-15.76); ɡaːuʃ (-16.19); AM (-17.06)	6
a-i-*301-wa-e-a	aiΘwaea	-ika	-16.8358	-ika (-16.84); araika (-19.07); Maːhiʃ (-19.26)	7
a-i-*301-wa-e-a-d	aiΘwaead	-ika	-19.6647	-ika (-19.66); araika (-21.89); ijam (-22.32)	8
a-i-*301-wa-e-a-di	aiΘwaeadi	-ika	-22.7653	-ika (-22.77); vaʃana (-22.85); aiva (-22.85)	9
a-i-*301-wa-e-a-di-k	aiΘwaeadik	vaʃanaa	-25.3522	vaʃanaa (-25.35); Rauxʃnaː (-25.61); vaʃana (-25.67)	10
a-i-*301-wa-j	aiΘwaj	DH	-17.0572	DH (-17.06); AM (-17.06); aita (-18.61)	6
a-i-*301-wa-ja	aiΘwaja	DH	-20.2315	DH (-20.23); AM (-20.23); daθa (-20.31)	7
a-i-*301-wa-ja-a	aiΘwajaa	Hutauθaː	-22.0907	Hutauθaː (-22.09); ɡaiθaː (-22.62); aθaga (-22.84)	8
a-i-*301-wa-ja-a-d	aiΘwajaad	Hutauθaː	-24.5305	Hutauθaː (-24.53); θatam (-24.87); ɡaiθaː (-25.07)	9
a-i-*301-wa-ja-a-di	aiΘwajaadi	aiva	-25.9561	aiva (-25.96); asaina (-26.69); Hutauθaː (-27.34)	10
a-i-*301-wa-ja-a-j	aiΘwajaaj	Hutauθaː	-24.4386	Hutauθaː (-24.44); ɡaiθaː (-25.05); aθaga (-25.40)	9
a-i-*301-wa-ja-a-ja	aiΘwajaaja	Hutauθaː	-27.0758	Hutauθaː (-27.08); ɡaiθaː (-27.84); aθaⁿɡaʰ (-27.90)	10
a-i-*301-wa-ja-j	aiΘwajaj	Hutauθaː	-21.9827	Hutauθaː (-21.98); ɡaiθaː (-22.59); aθaga (-22.83)	8
a-i-*301-wa-ja-ja	aiΘwajaja	Hutauθaː	-24.3091	Hutauθaː (-24.31); ɡaiθaː (-25.01); aθaga (-25.27)	9
a-i-*301-wa-ja-ja-a	aiΘwajajaa	Hutauθaː	-25.877	Hutauθaː (-25.88); ɡaiθaː (-27.26); aθaⁿɡaʰ (-27.88)	10
