lost	top1_known	score	top10
adadau	nun͂-	-15.2206	"[[""nun͂-"", -15.2206], [""mɲn-"", -15.3403], [""m̃ma"", -15.6534], [""m̃mẽ"", -15.6534], [""snta"", -16.3649], [""mar"", -16.6688], [""nur"", -16.6688], [""m̃me/i-"", -16.7993], [""Pssure"", -17.3926], [""xm̃me-"", -17.3986]]"
adadaut	m̃ma	-13.3556	"[[""m̃ma"", -13.3556], [""m̃mẽ"", -13.368], [""Pssure"", -15.1979], [""=mẽ"", -15.5155], [""Arɲna"", -15.9046], [""Krɲna"", -15.9046], [""səm.ma"", -15.954], [""snta"", -16.3136], [""arm̃ma"", -16.4548], [""Parmna"", -16.5803]]"
adadauti	m̃ma	-16.8625	"[[""m̃ma"", -16.8625], [""m̃mẽ"", -16.875], [""Pssure"", -18.7038], [""m̃me/i-"", -18.9566], [""xm̃me-"", -18.986], [""=mẽ"", -19.0227], [""mruwe-"", -19.2214], [""θrm͂ma-"", -19.301], [""xrm̃ma-"", -19.301], [""arm̃ma-"", -19.301]]"
adadautin	m̃ma	-20.3694	"[[""m̃ma"", -20.3694], [""m̃mẽ"", -20.3818], [""m̃me/i-"", -21.1411], [""xm̃me-"", -21.8121], [""mruwe-"", -22.0464], [""arm̃ma-"", -22.1265], [""θrm͂ma-"", -22.1265], [""xrm̃ma-"", -22.1265], [""Pssure"", -22.2093], [""mara-"", -22.3018]]"
adadautinu	m̃me/i-	-23.7579	"[[""m̃me/i-"", -23.7579], [""m̃ma"", -23.8762], [""m̃mẽ"", -23.8887], [""xm̃me-"", -24.918], [""mruwe-"", -25.1511], [""arm̃ma-"", -25.2301], [""xrm̃ma-"", -25.2301], [""θrm͂ma-"", -25.2301], [""mara-"", -25.3948], [""sɲne-"", -25.4597]]"
adau	mɲn-	-11.6953	"[[""mɲn-"", -11.6953], [""mu-"", -11.8206], [""si-"", -11.8206], [""nun͂-"", -11.867], [""is-"", -11.9546], [""m̃ma"", -12.166], [""m̃mẽ"", -12.166], [""=mẽ"", -12.1832], [""mla-"", -12.2061], [""mel-"", -12.2061]]"
adaut	=mẽ	-9.8726	"[[""=mẽ"", -9.8726], [""me"", -10.5286], [""se"", -10.5286], [""mẽ"", -10.5286], [""ne"", -10.5286], [""m̃ma"", -11.5372], [""m̃mẽ"", -11.5493], [""Krɲna"", -11.9264], [""Arɲna"", -11.9264], [""Ssaxa"", -11.9285]]"
adauti	=mẽ	-13.3797	"[[""=mẽ"", -13.3797], [""me"", -14.0358], [""ne"", -14.0358], [""mẽ"", -14.0358], [""se"", -14.0358], [""m̃ma"", -15.0247], [""m̃mẽ"", -15.0366], [""Isɲta-"", -15.0574], [""mara-"", -15.1958], [""Ssaxa"", -15.2115]]"
adautin	=mẽ	-16.8867	"[[""=mẽ"", -16.8867], [""me"", -17.543], [""mẽ"", -17.543], [""se"", -17.543], [""ne"", -17.543], [""s(ije)-"", -17.8612], [""Isɲta-"", -17.8823], [""mara-"", -17.9277], [""maxa-"", -18.1312], [""nele₂"", -18.1436]]"
adautinu	s(ije)-	-20.3182	"[[""s(ije)-"", -20.3182], [""=mẽ"", -20.3937], [""mara-"", -20.9452], [""Isɲta-"", -20.9869], [""se"", -21.0502], [""me"", -21.0502], [""ne"", -21.0502], [""mẽ"", -21.0502], [""maxa-"", -21.1297], [""nele₁"", -21.1422]]"
adautinui	s(ije)-	-23.1468	"[[""s(ije)-"", -23.1468], [""=mẽ"", -23.9006], [""mara-"", -24.0841], [""Isɲta-"", -24.2072], [""ma-(ti)"", -24.2496], [""maxa-"", -24.2526], [""nele₂"", -24.265], [""nele₁"", -24.265], [""ne"", -24.5574], [""mẽ"", -24.5574]]"
adautinuin	s(ije)-	-26.1487	"[[""s(ije)-"", -26.1487], [""ma-(ti)"", -26.7329], [""mara-"", -27.2917], [""=mẽ"", -27.4075], [""maxa-"", -27.4465], [""nele₁"", -27.4589], [""nele₂"", -27.4589], [""Isɲta-"", -27.491], [""m̃me/i-"", -27.6925], [""nele(/i)-"", -27.78]]"
adaw	Krɲna	-9.8247	"[[""Krɲna"", -9.8247], [""Arɲna"", -9.8247], [""mɲn-"", -10.2289], [""stta"", -10.4219], [""sɲta"", -10.4219], [""nte"", -10.4295], [""Jaɲ"", -11.3218], [""Tlax"", -11.5285], [""Isɲta-"", -11.7753], [""mu-"", -11.8206]]"
adawa	Isɲta-	-12.5019	"[[""Isɲta-"", -12.5019], [""mɲn-"", -12.5249], [""mltt-"", -12.5688], [""Krɲna"", -12.6281], [""Arɲna"", -12.6281], [""sɲta"", -13.2251], [""stta"", -13.2251], [""sɲne-"", -13.2614], [""mɲnu-"", -13.2614], [""nte"", -13.2731]]"
adawai	Isɲta-	-14.9655	"[[""Isɲta-"", -14.9655], [""mɲn-"", -15.2743], [""mltt-"", -15.3854], [""sɲne-"", -15.7021], [""mɲnu-"", -15.7021], [""Arɲna"", -15.7169], [""Krɲna"", -15.7169], [""stta"", -16.3144], [""sɲta"", -16.3144], [""nte"", -16.3852]]"
adawaij	Isɲta-	-17.793	"[[""Isɲta-"", -17.793], [""mɲn-"", -18.2315], [""mltt-"", -18.478], [""mɲnu-"", -18.5209], [""sɲne-"", -18.5209], [""Krɲna"", -18.923], [""Arɲna"", -18.923], [""Trkʷkʷɲt"", -19.1566], [""sɲta"", -19.5213], [""stta"", -19.5213]]"
adawaija	Isɲta-	-20.792	"[[""Isɲta-"", -20.792], [""mɲn-"", -21.3074], [""sɲne-"", -21.5153], [""mɲnu-"", -21.5153], [""mltt-"", -21.6854], [""Trkʷkʷɲt"", -21.9681], [""Arɲna"", -22.1937], [""Krɲna"", -22.1937], [""s(ije)-"", -22.487], [""m̃mẽt(i)-"", -22.4873]]"
adi	mɲn-	-9.0879	"[[""mɲn-"", -9.0879], [""=mẽ"", -9.0909], [""si-"", -9.1032], [""mu-"", -9.1032], [""is-"", -9.1314], [""mar"", -9.3632], [""nur"", -9.3632], [""m̃mẽ"", -9.6941], [""m̃ma"", -9.6941], [""mel-"", -9.7733]]"
adik	mɲn-	-11.6953	"[[""mɲn-"", -11.6953], [""mu-"", -11.8206], [""si-"", -11.8206], [""nun͂-"", -11.867], [""is-"", -11.9546], [""m̃ma"", -12.166], [""m̃mẽ"", -12.166], [""=mẽ"", -12.1832], [""mla-"", -12.2061], [""mel-"", -12.2061]]"
adiki	nun͂-	-14.1858	"[[""nun͂-"", -14.1858], [""mɲn-"", -14.6175], [""mu-"", -14.7634], [""si-"", -14.7634], [""m̃ma"", -14.9964], [""m̃mẽ"", -14.9964], [""mla-"", -15.0225], [""mel-"", -15.0225], [""is-"", -15.0545], [""=mẽ"", -15.3908]]"
adikit	=mẽ	-13.3748	"[[""=mẽ"", -13.3748], [""mẽ"", -14.0349], [""se"", -14.0349], [""me"", -14.0349], [""ne"", -14.0349], [""m̃ma"", -14.5911], [""m̃mẽ"", -14.6032], [""Krɲna"", -15.1951], [""Arɲna"", -15.1951], [""Ssaxa"", -15.196]]"
adikite	nei	-14.033	"[[""nei"", -14.033], [""γarãi"", -16.108], [""trei"", -16.7723], [""Piɡrẽi"", -16.7838], [""=mẽ"", -16.8694], [""neni"", -17.3143], [""si"", -17.5288], [""ni"", -17.5288], [""ne"", -17.5297], [""me"", -17.5297]]"
adikites	nei	-17.5402	"[[""nei"", -17.5402], [""γarãi"", -19.6149], [""m̃me/i-"", -19.7081], [""maxi-"", -20.1599], [""trei"", -20.2795], [""Piɡrẽi"", -20.2907], [""si-"", -20.3706], [""=mẽ"", -20.3764], [""s(ije)-"", -20.632], [""neni"", -20.7962]]"
adikitesi	nei	-21.0474	"[[""nei"", -21.0474], [""m̃me/i-"", -22.5153], [""s(ije)-"", -22.9106], [""maxi-"", -22.9829], [""γarãi"", -23.1216], [""si-"", -23.201], [""m̃mẽt(i)-"", -23.4164], [""trei"", -23.7866], [""Piɡrẽi"", -23.7973], [""=mẽ"", -23.8834]]"
adikitesir	nei	-24.5545	"[[""nei"", -24.5545], [""s(ije)-"", -25.5817], [""m̃me/i-"", -25.5932], [""m̃mẽt(i)-"", -25.8702], [""maxi-"", -26.0792], [""m̃mai(je)-"", -26.2247], [""si-"", -26.3086], [""γarãi"", -26.6283], [""nele(/i)-"", -26.692], [""win(i)-"", -27.0181]]"
adikitet	nei	-17.5393	"[[""nei"", -17.5393], [""mmaite"", -19.0908], [""Ssaxa"", -19.4845], [""Ssewa"", -19.4899], [""γarãi"", -19.6097], [""=mẽ"", -19.687], [""m̃me/i-"", -19.7076], [""meipẽme"", -19.8427], [""Ssepije"", -20.0252], [""sãma"", -20.1186]]"
adikitete	nei	-19.9469	"[[""nei"", -19.9469], [""γarãi"", -21.0585], [""Piɡrẽi"", -21.6544], [""m̃me/i-"", -22.2448], [""mmaite"", -22.4881], [""s(ije)-"", -22.6591], [""trei"", -22.6755], [""mara-"", -22.8226], [""neni"", -22.8248], [""Hutsetẽi"", -22.8421]]"
adikiteter	m̃me/i-	-23.0102	"[[""m̃me/i-"", -23.0102], [""nei"", -23.4544], [""m̃mai(je)-"", -23.6523], [""nere/i-"", -23.9572], [""nẽne/i-"", -23.9572], [""s(ije)-"", -24.2637], [""nure/i-"", -24.3217], [""side/i-"", -24.3696], [""γarãi"", -24.5657], [""ma-(ti)"", -24.9526]]"
adikitu	=mẽ	-16.8819	"[[""=mẽ"", -16.8819], [""mẽ"", -17.5421], [""me"", -17.5421], [""se"", -17.5421], [""ne"", -17.5421], [""m̃ma"", -18.0827], [""m̃mẽ"", -18.0945], [""Isɲta-"", -18.2567], [""mara-"", -18.5097], [""Ssaxa"", -18.5219]]"
adikituj	=mẽ	-20.3889	"[[""=mẽ"", -20.3889], [""s(ije)-"", -20.6744], [""se"", -21.0493], [""ne"", -21.0493], [""me"", -21.0493], [""mẽ"", -21.0493], [""Isɲta-"", -21.0832], [""mara-"", -21.2586], [""maxa-"", -21.4267], [""nele₁"", -21.439]]"
adikituja	s(ije)-	-23.1344	"[[""s(ije)-"", -23.1344], [""=mẽ"", -23.8958], [""Isɲta-"", -24.1886], [""mara-"", -24.2902], [""maxa-"", -24.4451], [""nele₁"", -24.4575], [""nele₂"", -24.4575], [""ne"", -24.5565], [""me"", -24.5565], [""se"", -24.5565]]"
adikitujas	s(ije)-	-25.9647	"[[""s(ije)-"", -25.9647], [""=mẽ"", -27.4028], [""Isɲta-"", -27.4094], [""mara-"", -27.4412], [""maxa-"", -27.5847], [""nele₂"", -27.597], [""nele₁"", -27.597], [""ma-(ti)"", -27.73], [""m̃me/i-"", -27.7847], [""sɲne-"", -27.8574]]"
aea	is-	-9.1032	"[[""is-"", -9.1032], [""si-"", -9.1314], [""xi-"", -9.1314], [""ti-"", -9.1314], [""=ti"", -9.3279], [""iwe-"", -9.7611], [""ije"", -9.7742], [""ite"", -9.7742], [""tsi-"", -9.7766], [""iða"", -9.7806]]"
aead	is-	-10.2797	"[[""is-"", -10.2797], [""es"", -11.1406], [""si-"", -11.8333], [""ti-"", -11.9546], [""xi-"", -11.9546], [""ijãnis"", -12.1181], [""miren"", -12.1367], [""=mẽ"", -12.1869], [""iwe-"", -12.1979], [""Mitsu"", -12.4353]]"
aeadi	is-	-9.8638	"[[""is-"", -9.8638], [""ijas-"", -12.6278], [""tis-"", -12.6339], [""es"", -14.6461], [""si-"", -14.7706], [""iwe-"", -15.0163], [""=mẽ"", -15.0287], [""xi-"", -15.0545], [""ti-"", -15.0545], [""Mitsu"", -15.2747]]"
aeadik	is-	-12.6882	"[[""is-"", -12.6882], [""ijas-"", -15.4512], [""tis-"", -15.4584], [""si-"", -17.8358], [""iwe-"", -18.0107], [""win(i)-"", -18.092], [""mɲn-"", -18.1115], [""=mẽ"", -18.1367], [""es"", -18.1516], [""nun͂-"", -18.1822]]"
aeadiki	is-	-15.7938	"[[""is-"", -15.7938], [""ijas-"", -18.5551], [""tis-"", -18.5639], [""win(i)-"", -20.1296], [""nun͂-"", -20.5729], [""si-"", -20.9817], [""iwe-"", -21.1079], [""mɲn-"", -21.1126], [""səm.ma"", -21.2379], [""kəm.me"", -21.2623]]"
aeadikit	is-	-19.0154	"[[""is-"", -19.0154], [""=mẽ"", -19.3093], [""itsre"", -20.179], [""ijãna"", -20.2785], [""tise"", -20.3092], [""pise"", -20.3092], [""səm.ma"", -20.7836], [""kəm.me"", -20.8183], [""Arɲna"", -20.9423], [""Krɲna"", -20.9423]]"
aeadikite	Piɡrẽi	-19.532	"[[""Piɡrẽi"", -19.532], [""nei"", -21.0473], [""γarãi"", -21.7412], [""is-"", -22.3008], [""=mẽ"", -22.804], [""trei"", -23.1174], [""Tuminexi"", -23.6132], [""itsre"", -23.6725], [""Putinetsi"", -23.7776], [""ijãna"", -23.7829]]"
aeadikitet	Piɡrẽi	-23.0382	"[[""Piɡrẽi"", -23.0382], [""nei"", -24.5536], [""inaxe/i-"", -25.0355], [""γarãi"", -25.2459], [""Ssaxa"", -25.4189], [""Ssewa"", -25.4243], [""=mẽ"", -25.6249], [""is-"", -25.6266], [""itsre/i-"", -25.6403], [""(†)sernitẽ"", -25.6887]]"
aid	=mẽ	-9.0981	"[[""=mẽ"", -9.0981], [""mar"", -9.3539], [""nur"", -9.3539], [""as"", -9.3933], [""es"", -9.3933], [""si-"", -10.3196], [""mu-"", -10.3196], [""si"", -10.4301], [""mẽ"", -10.4301], [""ni"", -10.4301]]"
aida	=mẽ	-11.9271	"[[""=mẽ"", -11.9271], [""mɲn-"", -12.1883], [""is-"", -12.2188], [""mu-"", -12.5661], [""si-"", -12.5661], [""nur"", -12.5757], [""mar"", -12.5757], [""tis-"", -12.5904], [""ter-"", -12.5904], [""es"", -12.8904]]"
aidaa	mɲn-	-14.8637	"[[""mɲn-"", -14.8637], [""nun͂-"", -14.9723], [""=mẽ"", -15.0292], [""is-"", -15.052], [""mu-"", -15.3009], [""si-"", -15.3009], [""ter-"", -15.4141], [""tis-"", -15.4141], [""m̃mẽ"", -15.6048], [""m̃ma"", -15.6048]]"
aidaau	nun͂-	-17.3363	"[[""nun͂-"", -17.3363], [""mɲn-"", -17.8354], [""is-"", -18.157], [""=mẽ"", -18.2452], [""mu-"", -18.2515], [""si-"", -18.2515], [""m̃ma"", -18.457], [""m̃mẽ"", -18.457], [""ter-"", -18.5181], [""tis-"", -18.5181]]"
aidaj	mɲn-	-14.8637	"[[""mɲn-"", -14.8637], [""nun͂-"", -14.9723], [""=mẽ"", -15.0292], [""is-"", -15.052], [""mu-"", -15.3009], [""si-"", -15.3009], [""ter-"", -15.4141], [""tis-"", -15.4141], [""m̃mẽ"", -15.6048], [""m̃ma"", -15.6048]]"
aidaja	nun͂-	-17.3363	"[[""nun͂-"", -17.3363], [""mɲn-"", -17.8354], [""is-"", -18.157], [""=mẽ"", -18.2452], [""mu-"", -18.2515], [""si-"", -18.2515], [""m̃ma"", -18.457], [""m̃mẽ"", -18.457], [""ter-"", -18.5181], [""tis-"", -18.5181]]"
aidajas	nun͂-	-20.0748	"[[""nun͂-"", -20.0748], [""mɲn-"", -20.9365], [""si-"", -21.3236], [""mu-"", -21.3236], [""is-"", -21.3758], [""m̃mẽ"", -21.4689], [""m̃ma"", -21.4689], [""mla-"", -21.5193], [""mel-"", -21.5193], [""=mẽ"", -21.5242]]"
aij	Jaɲ	-11.5351	"[[""Jaɲ"", -11.5351], [""=pe"", -11.5351], [""=mẽ"", -11.5351], [""=ti"", -11.5351], [""=be"", -11.5351], [""=de"", -11.5351], [""is-"", -12.1474], [""mu-"", -12.1474], [""xb-"", -12.1474], [""xa-"", -12.1474]]"
aija	=be	-14.5247	"[[""=be"", -14.5247], [""=ti"", -14.5247], [""=mẽ"", -14.5247], [""Jaɲ"", -14.5247], [""=de"", -14.5247], [""=pe"", -14.5247], [""ax-"", -14.9765], [""xb-"", -14.9765], [""mu-"", -14.9765], [""is-"", -14.9765]]"
ain	Jaɲ	-11.5351	"[[""Jaɲ"", -11.5351], [""=pe"", -11.5351], [""=mẽ"", -11.5351], [""=ti"", -11.5351], [""=be"", -11.5351], [""=de"", -11.5351], [""is-"", -12.1474], [""mu-"", -12.1474], [""xb-"", -12.1474], [""xa-"", -12.1474]]"
aina	=be	-14.5247	"[[""=be"", -14.5247], [""=ti"", -14.5247], [""=mẽ"", -14.5247], [""Jaɲ"", -14.5247], [""=de"", -14.5247], [""=pe"", -14.5247], [""ax-"", -14.9765], [""xb-"", -14.9765], [""mu-"", -14.9765], [""is-"", -14.9765]]"
ainaj	=be	-17.6191	"[[""=be"", -17.6191], [""=ti"", -17.6191], [""=pe"", -17.6191], [""=de"", -17.6191], [""=mẽ"", -17.6191], [""Jaɲ"", -17.6191], [""si-"", -17.9765], [""ti-"", -17.9765], [""mu-"", -17.9765], [""ad-"", -17.9765]]"
ainaja	=be	-20.7824	"[[""=be"", -20.7824], [""=mẽ"", -20.7824], [""=de"", -20.7824], [""Jaɲ"", -20.7824], [""=ti"", -20.7824], [""=pe"", -20.7824], [""xb-"", -21.0773], [""ad-"", -21.0773], [""xa-"", -21.0773], [""ti-"", -21.0773]]"
ainajar	=pe	-23.9944	"[[""=pe"", -23.9944], [""=be"", -23.9944], [""=ti"", -23.9944], [""=mẽ"", -23.9944], [""Jaɲ"", -23.9944], [""=de"", -23.9944], [""ad-"", -24.2448], [""ti-"", -24.2448], [""is-"", -24.2448], [""mu-"", -24.2448]]"
ainajare	=ti	-23.9332	"[[""=ti"", -23.9332], [""Puwẽi"", -25.6583], [""γarãi"", -25.6603], [""ai"", -25.9512], [""ni"", -25.9512], [""ti"", -25.9512], [""si"", -25.9512], [""eri"", -25.9649], [""epi"", -25.9649], [""eti"", -25.9649]]"
ainajaret	(†)pẽnẽ	-26.3672	"[[""(†)pẽnẽ"", -26.3672], [""=we / =uwe"", -26.7316], [""Pubiele"", -26.7679], [""Tele"", -26.993], [""=ewẽ"", -26.993], [""Masa"", -27.0495], [""xe/i-"", -27.089], [""=pe"", -27.2064], [""=be"", -27.2064], [""=mẽ"", -27.2064]]"
ainajareta	(†)pẽnẽ	-29.6768	"[[""(†)pẽnẽ"", -29.6768], [""Pubiele"", -29.8647], [""ux(i)-"", -29.8761], [""xe/i-"", -29.9092], [""=we / =uwe"", -30.2263], [""eb(e)"", -30.2877], [""Tele"", -30.3474], [""=ewẽ"", -30.3474], [""Masa"", -30.3955], [""ite(/i)-"", -30.5415]]"
ainw	Jaɲ	-11.3218	"[[""Jaɲ"", -11.3218], [""Tlax"", -11.5285], [""=pe"", -12.1927], [""=be"", -12.1927], [""=ti"", -12.1927], [""=de"", -12.1927], [""wex"", -12.5619], [""epɲ"", -12.7965], [""app"", -12.7965], [""alb"", -12.8319]]"
ainwa	Jaɲ	-14.8093	"[[""Jaɲ"", -14.8093], [""=ti"", -15.0316], [""=pe"", -15.0316], [""=de"", -15.0316], [""=be"", -15.0316], [""Tlax"", -15.032], [""xb-"", -15.0351], [""xɲt-"", -15.3448], [""xtt-"", -15.3448], [""wex-"", -15.3988]]"
ainwaz	qal	-16.723	"[[""qal"", -16.723], [""kʷla-"", -16.7743], [""kʷla"", -16.7832], [""xla-"", -17.3377], [""tla"", -17.4435], [""hla"", -17.4435], [""xla"", -17.4435], [""xb-"", -17.8333], [""Tlax"", -17.9529], [""xtt-"", -18.0575]]"
ainwaza	kʷla-	-18.9453	"[[""kʷla-"", -18.9453], [""xla-"", -19.5804], [""kʷla"", -19.5987], [""tlle-"", -20.1693], [""qal"", -20.2162], [""xla"", -20.2873], [""tla"", -20.2873], [""hla"", -20.2873], [""xb-"", -20.8798], [""xɲt-"", -21.0552]]"
ainwazaΦ	kʷla-	-21.6521	"[[""kʷla-"", -21.6521], [""xla-"", -22.3141], [""tlle-"", -22.6331], [""kʷla"", -22.6915], [""hla"", -23.3995], [""xla"", -23.3995], [""tla"", -23.3995], [""qal"", -23.7092], [""xb-"", -24.0378], [""xɲtla-"", -24.0888]]"
ainwazaΦn	kʷla-	-24.5845	"[[""kʷla-"", -24.5845], [""xla-"", -25.2642], [""tlle-"", -25.4607], [""kʷla"", -25.8994], [""kʷl-/tel-"", -26.6128], [""tla"", -26.6245], [""hla"", -26.6245], [""xla"", -26.6245], [""xal(i)-"", -26.9918], [""xle/i-"", -27.0145]]"
ainwazaΦni	kʷla-	-27.6419	"[[""kʷla-"", -27.6419], [""xla-"", -28.336], [""tlle-"", -28.4598], [""kʷl-/tel-"", -28.956], [""kʷla"", -29.1707], [""xal(i)-"", -29.4736], [""xle/i-"", -29.7756], [""hla"", -29.912], [""xla"", -29.912], [""tla"", -29.912]]"
aiΘ	Jaɲ	-11.5351	"[[""Jaɲ"", -11.5351], [""=pe"", -11.5351], [""=mẽ"", -11.5351], [""=ti"", -11.5351], [""=be"", -11.5351], [""=de"", -11.5351], [""is-"", -12.1474], [""mu-"", -12.1474], [""xb-"", -12.1474], [""xa-"", -12.1474]]"
aiΘt	Masa	-11.1374	"[[""Masa"", -11.1374], [""Tele"", -11.1499], [""=ewẽ"", -11.1499], [""=pe"", -11.3338], [""=be"", -11.3338], [""=de"", -11.3338], [""=mẽ"", -11.3338], [""Mula"", -11.5285], [""Iuba"", -11.5285], [""Jaɲ"", -12.1927]]"
aiΘti	Masa	-14.3556	"[[""Masa"", -14.3556], [""Tele"", -14.3681], [""=ewẽ"", -14.3681], [""=de"", -14.8211], [""=be"", -14.8211], [""=mẽ"", -14.8211], [""=pe"", -14.8211], [""eb(e)"", -14.9867], [""Jaɲ"", -15.0316], [""Iuba"", -15.032]]"
aiΘtij	Masa	-17.6329	"[[""Masa"", -17.6329], [""=ewẽ"", -17.6453], [""Tele"", -17.6453], [""eb(e)"", -17.7921], [""ada-"", -18.1115], [""Jaɲ"", -18.1387], [""xa-"", -18.2656], [""=de"", -18.3044], [""=pe"", -18.3044], [""=mẽ"", -18.3044]]"
aiΘtija	eb(e)	-20.8678	"[[""eb(e)"", -20.8678], [""Masa"", -20.9483], [""=ewẽ"", -20.9607], [""Tele"", -20.9607], [""ada-"", -21.1126], [""Jaɲ"", -21.3586], [""xa-"", -21.3746], [""tsa-"", -21.6114], [""dda-"", -21.6114], [""xla-"", -21.6114]]"
aiΘtijas	eb(e)	-24.0486	"[[""eb(e)"", -24.0486], [""ada-"", -24.2375], [""Masa"", -24.2903], [""=ewẽ"", -24.3026], [""Tele"", -24.3026], [""xa-"", -24.5959], [""Jaɲ"", -24.6409], [""ad-"", -24.8135], [""ax-"", -24.8135], [""mla-"", -24.8318]]"
aiΘtijasa	eb(e)	-27.2817	"[[""eb(e)"", -27.2817], [""ada-"", -27.4331], [""kʷa-(ti)"", -27.5822], [""Masa"", -27.6519], [""=ewẽ"", -27.6643], [""Tele"", -27.6643], [""xa-"", -27.8797], [""Jaɲ"", -27.9629], [""ad-"", -27.9671], [""ax-"", -27.9671]]"
aiΘtijasas	kʷa-(ti)	-30.2739	"[[""kʷa-(ti)"", -30.2739], [""eb(e)"", -30.544], [""ada-"", -30.6751], [""ite(/i)-"", -30.6892], [""Masa"", -31.0287], [""Tele"", -31.041], [""=ewẽ"", -31.041], [""ax-"", -31.1738], [""ad-"", -31.1738], [""xa-"", -31.2031]]"
aiΘu	=be	-14.5247	"[[""=be"", -14.5247], [""=ti"", -14.5247], [""=mẽ"", -14.5247], [""Jaɲ"", -14.5247], [""=de"", -14.5247], [""=pe"", -14.5247], [""ax-"", -14.9765], [""xb-"", -14.9765], [""mu-"", -14.9765], [""is-"", -14.9765]]"
