lost	top1_known	score	top10
aad	=mẽ	-9.0981	"[[""=mẽ"", -9.0981], [""mar"", -9.3539], [""nur"", -9.3539], [""as"", -9.3933], [""es"", -9.3933], [""si-"", -10.3196], [""mu-"", -10.3196], [""si"", -10.4301], [""mẽ"", -10.4301], [""ni"", -10.4301]]"
aadi	=mẽ	-11.9271	"[[""=mẽ"", -11.9271], [""mɲn-"", -12.1883], [""is-"", -12.2188], [""mu-"", -12.5661], [""si-"", -12.5661], [""nur"", -12.5757], [""mar"", -12.5757], [""tis-"", -12.5904], [""ter-"", -12.5904], [""es"", -12.8904]]"
aadik	mɲn-	-14.8637	"[[""mɲn-"", -14.8637], [""nun͂-"", -14.9723], [""=mẽ"", -15.0292], [""is-"", -15.052], [""mu-"", -15.3009], [""si-"", -15.3009], [""ter-"", -15.4141], [""tis-"", -15.4141], [""m̃mẽ"", -15.6048], [""m̃ma"", -15.6048]]"
aadiki	nun͂-	-17.3363	"[[""nun͂-"", -17.3363], [""mɲn-"", -17.8354], [""is-"", -18.157], [""=mẽ"", -18.2452], [""mu-"", -18.2515], [""si-"", -18.2515], [""m̃ma"", -18.457], [""m̃mẽ"", -18.457], [""ter-"", -18.5181], [""tis-"", -18.5181]]"
aadikit	=mẽ	-16.2027	"[[""=mẽ"", -16.2027], [""mẽ"", -17.5422], [""ne"", -17.5422], [""se"", -17.5422], [""me"", -17.5422], [""m̃ma"", -17.8721], [""m̃mẽ"", -17.8842], [""Krɲna"", -17.9252], [""Arɲna"", -17.9252], [""Ssaxa"", -18.0225]]"
aadikite	nei	-17.5402	"[[""nei"", -17.5402], [""γarãi"", -18.8013], [""Piɡrẽi"", -19.221], [""=mẽ"", -19.6973], [""trei"", -19.8898], [""Puwẽi"", -20.7854], [""neni"", -20.7955], [""ni"", -21.036], [""si"", -21.036], [""ne"", -21.0369]]"
aadikites	nei	-21.0474	"[[""nei"", -21.0474], [""γarãi"", -22.3084], [""Piɡrẽi"", -22.728], [""m̃me/i-"", -23.0806], [""=mẽ"", -23.2044], [""trei"", -23.397], [""maxi-"", -23.6669], [""si-"", -23.8776], [""Isɲta-"", -23.9095], [""s(ije)-"", -24.1364]]"
aadikitesi	nei	-24.5546	"[[""nei"", -24.5546], [""γarãi"", -25.8153], [""m̃me/i-"", -25.8863], [""Piɡrẽi"", -26.235], [""s(ije)-"", -26.4154], [""maxi-"", -26.4899], [""m̃mẽt(i)-"", -26.6623], [""si-"", -26.7081], [""=mẽ"", -26.7115], [""trei"", -26.9042]]"
aaj	Jaɲ	-11.5351	"[[""Jaɲ"", -11.5351], [""=pe"", -11.5351], [""=mẽ"", -11.5351], [""=ti"", -11.5351], [""=be"", -11.5351], [""=de"", -11.5351], [""is-"", -12.1474], [""mu-"", -12.1474], [""xb-"", -12.1474], [""xa-"", -12.1474]]"
aaja	=be	-14.5247	"[[""=be"", -14.5247], [""=ti"", -14.5247], [""=mẽ"", -14.5247], [""Jaɲ"", -14.5247], [""=de"", -14.5247], [""=pe"", -14.5247], [""ax-"", -14.9765], [""xb-"", -14.9765], [""mu-"", -14.9765], [""is-"", -14.9765]]"
aau	Jaɲ	-11.5351	"[[""Jaɲ"", -11.5351], [""=pe"", -11.5351], [""=mẽ"", -11.5351], [""=ti"", -11.5351], [""=be"", -11.5351], [""=de"", -11.5351], [""is-"", -12.1474], [""mu-"", -12.1474], [""xb-"", -12.1474], [""xa-"", -12.1474]]"
ada	mɲn-	-9.0879	"[[""mɲn-"", -9.0879], [""=mẽ"", -9.0909], [""si-"", -9.1032], [""mu-"", -9.1032], [""is-"", -9.1314], [""mar"", -9.3632], [""nur"", -9.3632], [""m̃mẽ"", -9.6941], [""m̃ma"", -9.6941], [""mel-"", -9.7733]]"
adad	nur	-9.7098	"[[""nur"", -9.7098], [""mar"", -9.7098], [""m̃ma"", -9.7715], [""m̃mẽ"", -9.7715], [""snta"", -10.4732], [""Arɲnas"", -10.9619], [""mɲn-"", -11.5058], [""=mẽ"", -11.5443], [""miren"", -11.6289], [""nun͂-"", -11.6425]]"
adada	mɲn-	-12.4981	"[[""mɲn-"", -12.4981], [""m̃ma"", -12.574], [""m̃mẽ"", -12.574], [""mar"", -13.1893], [""nur"", -13.1893], [""snta"", -13.2766], [""nun͂-"", -13.8251], [""Arɲnas"", -14.2544], [""Pssure"", -14.4694], [""si-"", -14.5439]]"
