Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abhijñe	abhijɲe	ABHIYNE	wiktionary_cat	-	-
abhijñä	abhijɲə	ABHIYNE	wiktionary_cat	-	-
aci	atsi	ATSI	wiktionary_cat	-	-
aghaniṣṭh	aɡhaniʂʈh	AGHANISTH	wiktionary_cat	-	-
aik-	aik-	AIK	wiktionary_cat	-	-
ak	ak	AK	wiktionary_cat	-	-
akmal	akmal	AKMAL	wiktionary_cat	-	-
akri	akri	AKRI	wiktionary_cat	-	-
akritär	akritər	AKRITER	wiktionary_cat	-	-
akäts	akəts	AKETS	wiktionary_cat	-	-
akäṃtsune	akəmtsune	AKEMTSUNE	wiktionary_cat	-	-
a(n)-	a(n)-	AN	wiktionary_cat	-	-
anapär	anapər	ANAPER	wiktionary_cat	-	-
ane	ane	ANE	wiktionary_cat	-	-
antuṣ	antuʂ	ANTUS	wiktionary_cat	-	-
appärmāt	appərmaːt	APPERMAT	wiktionary_cat	-	-
apälkāt	apəlkaːt	APELKAT	wiktionary_cat	-	-
ar-	ar-	AR	wiktionary_cat	-	-
arkant	arkant	ARKANT	wiktionary_cat	-	-
arkäts	arkəts	ARKETS	wiktionary_cat	-	-
asaṃkhye	asamkhje	ASAMKHYE	wiktionary_cat	-	-
asinät	asinət	ASINET	wiktionary_cat	-	-
asäl	asəl	ASEL	wiktionary_cat	-	-
ats	ats	ATS	wiktionary_cat	-	-
atsaṃ	atsam	ATSAM	wiktionary_cat	-	-
atär	atər	ATER	wiktionary_cat	-	-
atäṅkät	atəŋkət	ATENKET	wiktionary_cat	-	-
añcu	aɲtsu	ANTSU	wiktionary_cat	-	-
añcäl	aɲtsəl	ANTSEL	wiktionary_cat	-	-
añumāski	aɲumaːski	ANUMASKI	wiktionary_cat	-	-
aśi	aɕi	ASI	wiktionary_cat	-	-
aṃśär	amɕər	AMSER	wiktionary_cat	-	-
bodʰisattu	bodʱisattu	BODISATTU	wiktionary_cat	-	-
ckācar	tskaːtsar	TSKATSAR	wiktionary_cat	-	-
cmol	tsmol	TSMOL	wiktionary_cat	-	-
cok	tsok	TSOK	wiktionary_cat	-	-
cämp-	tsəmp-	TSEMP	wiktionary_cat	-	-
e-	e-	E	wiktionary_cat	-	-
ehe	ehe	EHE	wiktionary_cat	-	-
ekro	ekro	EKRO	wiktionary_cat	-	-
ekrorñe	ekrorɲe	EKRORNE	wiktionary_cat	-	-
ekär	ekər	EKER	wiktionary_cat	-	-
empele	empele	EMPELE	wiktionary_cat	-	-
en-	en-	EN	wiktionary_cat	-	-
entsāl	entsaːl	ENTSAL	wiktionary_cat	-	-
enäk	enək	ENEK	wiktionary_cat	-	-
epe	epe	EPE	wiktionary_cat	-	-
eprer	eprer	EPRER	wiktionary_cat	-	-
es	es	ES	wiktionary_cat	-	-
ewär	ewər	EWER	wiktionary_cat	-	-
eśe	eɕe	ESE	wiktionary_cat	-	-
eṃts	emts	EMTS	wiktionary_cat	-	-
eṃts-	emts-	EMTS	wiktionary_cat	-	-
eṃṣke	emʂke	EMSKE	wiktionary_cat	-	-
eṣ	eʂ	ES	wiktionary_cat	-	-
eṣäk	eʂək	ESEK	wiktionary_cat	-	-
granth	ɡranth	GRANTH	wiktionary_cat	-	-
i-	i-	I	wiktionary_cat	-	-
ime	ime	IME	wiktionary_cat	-	-
kaksurñe	kaksurɲe	KAKSURNE	wiktionary_cat	-	-
kanak	kanak	KANAK	wiktionary_cat	-	-
kanti	kanti	KANTI	wiktionary_cat	-	-
kanweṃ	kanwem	KANWEM	wiktionary_cat	-	-
kapśañi	kapɕaɲi	KAPSANI	wiktionary_cat	-	-
karay-	karaj-	KARAY	wiktionary_cat	-	-
karel	karel	KAREL	wiktionary_cat	-	-
karke	karke	KARKE	wiktionary_cat	-	-
kaumar	kaumar	KAUMAR	wiktionary_cat	-	-
kayurṣ	kajurʂ	KAYURS	wiktionary_cat	-	-
kaś	kaɕ	KAS	wiktionary_cat	-	-
kaśal	kaɕal	KASAL	wiktionary_cat	-	-
kaśśi	kaɕɕi	KASSI	wiktionary_cat	-	-
kaṃ	kam	KAM	wiktionary_cat	-	-
kaṣ	kaʂ	KAS	wiktionary_cat	-	-
kaṣt	kaʂt	KAST	wiktionary_cat	-	-
ke	ke	KE	wiktionary_cat	-	-
kekär	kekər	KEKER	wiktionary_cat	-	-
keyurṣ	kejurʂ	KEYURS	wiktionary_cat	-	-
keṃ	kem	KEM	wiktionary_cat	-	-
kinnare	kinnare	KINNARE	wiktionary_cat	-	-
kip	kip	KIP	wiktionary_cat	-	-
kipsu	kipsu	KIPSU	wiktionary_cat	-	-
kleś	kleɕ	KLES	wiktionary_cat	-	-
klu	klu	KLU	wiktionary_cat	-	-
klumpri	klumpri	KLUMPRI	wiktionary_cat	-	-
klyom	kʎom	KOM	wiktionary_cat	-	-
klyos-	kʎos-	KOS	wiktionary_cat	-	-
klänk-	klənk-	KLENK	wiktionary_cat	-	-
kläṣmune	kləʂmune	KLESMUNE	wiktionary_cat	-	-
klānk-	klaːnk-	KLANK	wiktionary_cat	-	-
klāw-	klaːw-	KLAW	wiktionary_cat	-	-
knalune	knalune	KNALUNE	wiktionary_cat	-	-
