Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ade-	ade-	ADE	wiktionary_cat	-	-
adema	adema	ADEMA	wiktionary_cat	-	-
aja-	aja-	AYA	wiktionary_cat	-	-
ajta	ajta	AYTA	wiktionary_cat	-	-
ajŋe	ajŋe	AYNE	wiktionary_cat	-	-
appa-	appa-	APPA	wiktionary_cat	-	-
apta-	apta-	APTA	wiktionary_cat	-	-
arja-	arja-	ARYA	wiktionary_cat	-	-
attɜ	attɜ	ATT	wiktionary_cat	-	-
ańa	aɲa	ANA	wiktionary_cat	-	-
aŋe	aŋe	ANE	wiktionary_cat	-	-
aŋtɜ	aŋtɜ	ANT	wiktionary_cat	-	-
aśkele	aɕkele	ASKELE	wiktionary_cat	-	-
e-	e-	E	wiktionary_cat	-	-
ede	ede	EDE	wiktionary_cat	-	-
-ek	-ek	EK	wiktionary_cat	-	-
ekä	ekæ	EKA	wiktionary_cat	-	-
elä-	elæ-	ELA	wiktionary_cat	-	-
emä	emæ	EMA	wiktionary_cat	-	-
enä	enæ	ENA	wiktionary_cat	-	-
ertä	ertæ	ERTA	wiktionary_cat	-	-
erä	eræ	ERA	wiktionary_cat	-	-
-eta	-eta	ETA	wiktionary_cat	-	-
ewä	ewæ	EWA	wiktionary_cat	-	-
ikene	ikene	IKENE	wiktionary_cat	-	-
ikä	ikæ	IKA	wiktionary_cat	-	-
ilma	ilma	ILMA	wiktionary_cat	-	-
ime-	ime-	IME	wiktionary_cat	-	-
ipsɜ	ipsɜ	IPS	wiktionary_cat	-	-
iskä-	iskæ-	ISKA	wiktionary_cat	-	-
itä-	itæ-	ITA	wiktionary_cat	-	-
ićä	itɕæ	ITSA	wiktionary_cat	-	-
iša	iʃa	ISA	wiktionary_cat	-	-
-j	-j	Y	wiktionary_cat	-	-
-ja	-ja	YA	wiktionary_cat	-	-
jakka-	jakka-	YAKKA	wiktionary_cat	-	-
jalka	jalka	YALKA	wiktionary_cat	-	-
jase	jase	YASE	wiktionary_cat	-	-
jaŋka	jaŋka	YANKA	wiktionary_cat	-	-
jaŋša-	jaŋʃa-	YANSA	wiktionary_cat	-	-
jelä	jelæ	YELA	wiktionary_cat	-	-
jemä	jemæ	YEMA	wiktionary_cat	-	-
joke	joke	YOKE	wiktionary_cat	-	-
jome-	jome-	YOME	wiktionary_cat	-	-
joŋse	joŋse	YONSE	wiktionary_cat	-	-
juma	juma	YUMA	wiktionary_cat	-	-
jupta-	jupta-	YUPTA	wiktionary_cat	-	-
juwɜ	juwɜ	YUW	wiktionary_cat	-	-
jäje	jæje	YAYE	wiktionary_cat	-	-
jälke	jælke	YALKE	wiktionary_cat	-	-
jämä-	jæmæ-	YAMA	wiktionary_cat	-	-
jänte	jænte	YANTE	wiktionary_cat	-	-
jäsene	jæsene	YASENE	wiktionary_cat	-	-
jäwrä	jæwræ	YAWRA	wiktionary_cat	-	-
jäŋe	jæŋe	YANE	wiktionary_cat	-	-
jäŋkä	jæŋkæ	YANKA	wiktionary_cat	-	-
jëka-	jëka-	YKA	wiktionary_cat	-	-
jëxe-	jëxe-	YKE	wiktionary_cat	-	-
