Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aaizzi	aːitsːi	AITSI	wiktionary	forms_denominative_verbs_from_nouns.	-
addaaš	atːaːš	ATA	wiktionary	-	-
ais	ais	AIS	wiktionary	mouth	-
alel	alel	ALEL	wiktionary	flower	-
alpas	alpas	ALPAS	wiktionary	cloud	-
alpus	alpus	ALPUS	wiktionary	sharp	-
alpuš	alpuš	ALPU	wiktionary	sharp,_pointed	-
alēl	aleːl	ALEL	wiktionary	flower,_blossom	-
amiyanz	amijants	AMIYANTS	wiktionary	small	-
ammiyaanteeššar	ammijaːnteːššar	AMMIYANTEAR	wiktionary	miniature_bread	-
ammuuk	ammuːk	AMMUK	wiktionary	me	-
annanuzi	annanutsi	ANNANUTSI	wiktionary	to_teach,_educate	-
annas	annas	ANNAS	wiktionary	mother	-
annaš	annaš	ANNA	wiktionary	mother	-
anniiezzi	anniːetsːi	ANNIETSI	wiktionary	to_act,_create,_work	-
antuwaaḫḫaaš	antuwaːxːaːš	ANTUWAKA	wiktionary	man,_human_being,_person	-
antuwahhas	antuwaxːas	ANTUWAKAS	wiktionary	man_human	-
apiyā	apijaː	APIYA	wiktionary	towards_the_river	-
appa	apːa	APA	wiktionary	behind	-
ara	ara	ARA	wiktionary	correct	-
araaaš	araːaš	ARAA	wiktionary	-	-
araszi	arastsi	ARASTSI	wiktionary	to_flow	-
arauwaaš	arauwaːš	ARAUWA	wiktionary	exempt,_free	-
argamannu	arkamannu	ARKAMANNU	wiktionary	tribute	-
ariezzi	arietsːi	ARIETSI	wiktionary	to_study_an_oracle,_ask_an_oracle.	-
ariyašeššar	arijašeššar	ARIYAEAR	wiktionary	oracle	-
armawanz	armawants	ARMAWANTS	wiktionary	pregnant	-
arnuuzzi	arnuːtsːi	ARNUTSI	wiktionary	to_send,_address	-
arunas	arunas	ARUNAS	wiktionary	sea	-
arāwanzi	araːwantsi	ARAWANTSI	wiktionary	to_rise,_revolt,_halt	-
arāš	araːš	ARA	wiktionary	friend	-
arḫaš	arxaš	ARKA	wiktionary	line,_boundary,_border	-
as	as	AS	wiktionary	he_she_it	-
