Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
Blatuna	Blatuna	0LATUNA	diacl	-	-
blatu-	blatu-	BLATU	diacl	-	-
Blato-magus	Blato-magus	0LATOMAGUS	diacl	-	-
sasia	sasia	SASIA	diacl	-	-
avallo	avallo	ABALLO	diacl	-	-
ivo-	ivo-	IBO	diacl	-	-
vidubia	vidubia	BIDUBIA	diacl	-	-
Viduco	Viduco	0IDUKO	diacl	-	-
widu-	widu-	WIDU	diacl	-	-
karros	karros	KARROS	diacl	-	-
Ver-iugus	Ver-iugus	0ERIUGUS	diacl	-	-
Karródounon	Karródoːnon	0ARRDONON	diacl	-	-
Roto-magus	Roto-magus	0OTOMAGUS	diacl	-	-
roto-	roto-	ROTO	diacl	-	-
magus	magus	MAGUS	diacl	-	-
selj-	selj-	SELY	diacl	-	-
Giamoni-	Giamoni-	0IAMONI	diacl	-	-
gewro-	gewro-	GEWRO	diacl	-	-
gemro-	gemro-	GEMRO	diacl	-	-
Giamos	Giamos	0IAMOS	diacl	-	-
Samognatius	Samognatius	0AMOGNATIUS	diacl	-	-
samo-	samo-	SAMO	diacl	-	-
Samarobriva Ambianorum	Samarobriva Ambianorum	0AMAROBRIBA0MBIANORUM	diacl	-	-
lat-	lat-	LAT	diacl	-	-
Isarnus	Isarnus	0SARNUS	diacl	-	-
isarno-	isarno-	ISARNO	diacl	-	-
Argantomagus	Argantomagus	0RGANTOMAGUS	diacl	-	-
arganto	arganto	ARGANTO	diacl	-	-
Caito-brix	Caito-brix	0AITOBRIK	diacl	-	-
caito	caito	KAITO	diacl	-	-
prenne	prenne	PRENNE	diacl	-	-
lausa	lausa	LAUSA	diacl	-	-
lawā	lawaː	LAWA	diacl	-	-
Alesia	Alesia	0LESIA	diacl	-	-
pettia	pettia	PETTIA	diacl	-	-
gaiso-	gaiso-	GAISO	diacl	-	-
Ario-gaisus	Ario-gaisus	0RIOGAISUS	diacl	-	-
adgariet	adgariet	ADGARIET	wiktionary_cat	-	-
allos	allos	ALLOS	wiktionary_cat	-	-
ambaxtos	ambaxtos	AMBAKTOS	wiktionary_cat	-	-
anat	anat	ANAT	wiktionary_cat	-	-
aneunos	aneunos	ANEUNOS	wiktionary_cat	-	-
appisetu	appisetu	APPISETU	wiktionary_cat	-	-
arios	arios	ARIOS	wiktionary_cat	-	-
artua	artua	ARTUA	wiktionary_cat	-	-
atespos	atespos	ATESPOS	wiktionary_cat	-	-
atir	atir	ATIR	wiktionary_cat	-	-
auuot	awot	AWOT	wiktionary_cat	-	-
bardos	bardos	BARDOS	wiktionary_cat	-	-
bekos	bekos	BEKOS	wiktionary_cat	-	-
Belatucadros	Belatucadros	0ELATUKADROS	wiktionary_cat	-	-
benna	benna	BENNA	wiktionary_cat	-	-
berula	berula	BERULA	wiktionary_cat	-	-
Biatec	Biatec	0IATEK	wiktionary_cat	-	-
briginos	briginos	BRIGINOS	wiktionary_cat	-	-
briua	briua	BRIUA	wiktionary_cat	-	-
cadros	cadros	KADROS	wiktionary_cat	-	-
cambion	cambion	KAMBION	wiktionary_cat	-	-
canecosedlon	canecosedlon	KANEKOSEDLON	wiktionary_cat	-	-
cassanos	cassanos	KASSANOS	wiktionary_cat	-	-
cassica	cassica	KASSIKA	wiktionary_cat	-	-
con-	con-	KON	wiktionary_cat	-	-
dula	dula	DULA	wiktionary_cat	-	-
duxtir	duxtir	DUKTIR	wiktionary_cat	-	-
enter	enter	ENTER	wiktionary_cat	-	-
epos	epos	EPOS	wiktionary_cat	-	-
eđi	eđi	EI	wiktionary_cat	-	-
gena	gena	GENA	wiktionary_cat	-	-
genata	genata	GENATA	wiktionary_cat	-	-
geneta	geneta	GENETA	wiktionary_cat	-	-
gnata	gnata	GNATA	wiktionary_cat	-	-
gnatos	gnatos	GNATOS	wiktionary_cat	-	-
legitumon	legitumon	LEGITUMON	wiktionary_cat	-	-
leux	leux	LEUK	wiktionary_cat	-	-
lindon	lindon	LINDON	wiktionary_cat	-	-
lunget	lunget	LUNGET	wiktionary_cat	-	-
mapos	mapos	MAPOS	wiktionary_cat	-	-
marcos	marcos	MARKOS	wiktionary_cat	-	-
matir	matir	MATIR	wiktionary_cat	-	-
mi	mi	MI	wiktionary_cat	-	-
nu	nu	NU	wiktionary_cat	-	-
odocos	odocos	ODOKOS	wiktionary_cat	-	-
oino	oino	OINO	wiktionary_cat	-	-
oxtu	oxtu	OKTU	wiktionary_cat	-	-
oxtumetos	oxtumetos	OKTUMETOS	wiktionary_cat	-	-
panna	panna	PANNA	wiktionary_cat	-	-
pissiumi	pissiumi	PISSIUMI	wiktionary_cat	-	-
rix	rix	RIK	wiktionary_cat	-	-
Segomaros	Segomaros	0EGOMAROS	wiktionary_cat	-	-
sessa	sessa	SESSA	wiktionary_cat	-	-
sextam	sextam	SEKTAM	wiktionary_cat	-	-
sextametos	sextametos	SEKTAMETOS	wiktionary_cat	-	-
sosin	sosin	SOSIN	wiktionary_cat	-	-
souxtu	soːxtu	SOKTU	wiktionary_cat	-	-
suados	suados	SUADOS	wiktionary_cat	-	-
Suadurix	Suadurix	0UADURIK	wiktionary_cat	-	-
suadus	suadus	SUADUS	wiktionary_cat	-	-
suxtu	suxtu	SUKTU	wiktionary_cat	-	-
touta	toːta	TOTA	wiktionary_cat	-	-
tu	tu	TU	wiktionary_cat	-	-
ueiommi	ueːommi	UEOMMI	wiktionary_cat	-	-
uenicos	uenicos	UENIKOS	wiktionary_cat	-	-
uercobretos	uercobretos	UERKOBRETOS	wiktionary_cat	-	-
Α	Α		wiktionary_cat	-	-
ατιρ	ατιρ		wiktionary_cat	-	-
Ε	Ε		wiktionary_cat	-	-
ΕΙ	ΕΙ		wiktionary_cat	-	-
Η	Η		wiktionary_cat	-	-
Θ	Θ		wiktionary_cat	-	-
ΘΘ	ΘΘ		wiktionary_cat	-	-
Ι	Ι		wiktionary_cat	-	-
ματιρ	ματιρ		wiktionary_cat	-	-
Ο	Ο		wiktionary_cat	-	-
ΟΥ	ΟΥ		wiktionary_cat	-	-
Υ	Υ		wiktionary_cat	-	-
Ω	Ω		wiktionary_cat	-	-
ꟈ	ꟈ		wiktionary_cat	-	-
Ꟈ	Ꟈ		wiktionary_cat	-	-
ꟊ	ꟊ		wiktionary_cat	-	-
Ꟊ	Ꟊ		wiktionary_cat	-	-
ꟉꟉ	ꟉꟉ		wiktionary_cat	-	-
ꟊꟊ	ꟊꟊ		wiktionary_cat	-	-
𐌀𐌓𐌕𐌖𐌀	𐌀𐌓𐌕𐌖𐌀		wiktionary_cat	-	-
𐌕𐌀𐌊𐌏𐌔	𐌕𐌀𐌊𐌏𐌔		wiktionary_cat	-	-
𐌕𐌏𐌖𐌕𐌀	𐌕𐌏𐌖𐌕𐌀		wiktionary_cat	-	-
