Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ollon	ollon	OLLON	diacl	-	-
ruska	ruska	RUSKA	diacl	-	-
magi	magi	MAGI	diacl	-	-
māro-	maːro-	MARO	diacl	-	-
etno-	etno-	ETNO	diacl	-	-
dubu-/i-	dubu-/i-	DUBUI	diacl	-	-
atro	atro	ATRO	diacl	-	-
brunnio	brunnio	BRUNNIO	diacl	-	-
ogron-	ogron-	OGRON	diacl	-	-
kukso-	kukso-	KUKSO	diacl	-	-
kuno-	kuno-	KUNO	diacl	-	-
ibetis	ibetis	IBETIS	diacl	-	-
tarto-	tarto-	TARTO	diacl	-	-
aus-	aus-	AUS	diacl	-	-
Rokloisiabo	Rokloisiabo	0OKLOISIABO	diacl	-	-
talamo-	talamo-	TALAMO	diacl	-	-
diarā	diaraː	DIARA	diacl	-	-
depro	depro	DEPRO	diacl	-	-
derko	derko	DERKO	diacl	-	-
galba	galba	GALBA	diacl	-	-
ten-	ten-	TEN	diacl	-	-
aidu-	aidu-	AIDU	diacl	-	-
ades	ades	ADES	diacl	-	-
traget-	traget-	TRAGET	diacl	-	-
kokso-	kokso-	KOKSO	diacl	-	-
ādes	aːdes	ADES	diacl	-	-
lāno-	laːno-	LANO	diacl	-	-
matu-	matu-	MATU	diacl	-	-
dago-	dago-	DAGO	diacl	-	-
manu-	manu-	MANU	diacl	-	-
glasto-	glasto-	GLASTO	diacl	-	-
uolto-	uolto-	UOLTO	diacl	-	-
lama	lama	LAMA	diacl	-	-
penno-	penno-	PENNO	diacl	-	-
barro	barro	BARRO	diacl	-	-
cluiou	cluioː	KLUIO	diacl	-	-
krid-	krid-	KRID	diacl	-	-
karnon	karnon	KARNON	diacl	-	-
banno-	banno-	BANNO	diacl	-	-
orge	orge	ORGE	diacl	-	-
uid-	uid-	UID	diacl	-	-
dola	dola	DOLA	diacl	-	-
siro-	siro-	SIRO	diacl	-	-
uiro-	uiro-	UIRO	diacl	-	-
elu-	elu-	ELU	diacl	-	-
kiko-	kiko-	KIKO	diacl	-	-
bergona/*briga	bergona/*briga	BERGONASBRIGA	diacl	-	-
barro-	barro-	BARRO	diacl	-	-
kalma/*kalmis	kalma/*kalmis	KALMASKALMIS	diacl	-	-
bokka-	bokka-	BOKKA	diacl	-	-
genu-	genu-	GENU	diacl	-	-
manto-/i-	manto-/i-	MANTOI	diacl	-	-
gobbo-	gobbo-	GOBBO	diacl	-	-
anuan	anuan	ANUAN	diacl	-	-
man-	man-	MAN	diacl	-	-
nouio-/*neuio	noːio-/*neuio	NOIOSNEUIO	diacl	-	-
noxt-	noxt-	NOKT	diacl	-	-
srogna	srogna	SROGNA	diacl	-	-
ne	ne	NE	diacl	-	-
oino-	oino-	OINO	diacl	-	-
gdonio-	gdonio-	GDONIO	diacl	-	-
roudo-	roːdo-	RODO	diacl	-	-
kammino-	kammino-	KAMMINO	diacl	-	-
sentu-	sentu-	SENTU	diacl	-	-
kurro-	kurro-	KURRO	diacl	-	-
graua	graua	GRAUA	diacl	-	-
labaro-	labaro-	LABARO	diacl	-	-
piss-	piss-	PISS	diacl	-	-
silo-	silo-	SILO	diacl	-	-
sed-	sed-	SED	diacl	-	-
bikko	bikko	BIKKO	diacl	-	-
lagu-	lagu-	LAGU	diacl	-	-
meion	meːon	MEON	diacl	-	-
sir-	sir-	SIR	diacl	-	-
akaunon	akaunon	AKAUNON	diacl	-	-
artu-	artu-	ARTU	diacl	-	-
kaliauo-	kaliauo-	KALIAUO	diacl	-	-
karno-	karno-	KARNO	diacl	-	-
krako-	krako-	KRAKO	diacl	-	-
gallo-	gallo-	GALLO	diacl	-	-
sonno	sonno	SONNO	diacl	-	-
losto-	losto-	LOSTO	diacl	-	-
se	se	SE	diacl	-	-
san	san	SAN	diacl	-	-
sinde	sinde	SINDE	diacl	-	-
tū	tuː	TU	diacl	-	-
tengua	tengua	TENGUA	diacl	-	-
uidu-	uidu-	UIDU	diacl	-	-
prenno-	prenno-	PRENNO	diacl	-	-
bilio-	bilio-	BILIO	diacl	-	-
dui	dui	DUI	diacl	-	-
tess-/*teđđ-	tess-/*teđđ-	TESSSTE	diacl	-	-
unna-	unna-	UNNA	diacl	-	-
apsa-	apsa-	APSA	diacl	-	-
dubron	dubron	DUBRON	diacl	-	-
sni	sni	SNI	diacl	-	-
albo-	albo-	ALBO	diacl	-	-
uindo-	uindo-	UINDO	diacl	-	-
kando-	kando-	KANDO	diacl	-	-
argio-	argio-	ARGIO	diacl	-	-
po[s?]	po[s?]	POS	diacl	-	-
bena	bena	BENA	diacl	-	-
gelamo-	gelamo-	GELAMO	diacl	-	-
melino-	melino-	MELINO	diacl	-	-
bodio-	bodio-	BODIO	diacl	-	-
bāgos	baːgos	BAGOS	diacl	-	-
taruos	taruos	TARUOS	diacl	-	-
betyo-	betyo-	BETUO	diacl	-	-
dalglā	dalglaː	DALGLA	diacl	-	-
Tarvisium	Tarvisium	0ARBISIUM	diacl	-	-
Ballo-marios	Ballo-marios	0ALLOMARIOS	diacl	-	-
Damona	Damona	0AMONA	diacl	-	-
epo	epo	EPO	diacl	-	-
markan	markan	MARKAN	diacl	-	-
marcosior	marcosior	MARKOSIOR	diacl	-	-
verēdo	vereːdo	BEREDO	diacl	-	-
Caballos	Caballos	0ABALLOS	diacl	-	-
Moltus	Moltus	0OLTUS	diacl	-	-
multo	multo	MULTO	diacl	-	-
bukko	bukko	BUKKO	diacl	-	-
gabro-	gabro-	GABRO	diacl	-	-
Gabromagus	Gabromagus	0ABROMAGUS	diacl	-	-
gabr-	gabr-	GABR	diacl	-	-
Gabrus	Gabrus	0ABRUS	diacl	-	-
Moccos	Moccos	0OKKOS	diacl	-	-
mocc-	mocc-	MOKK	diacl	-	-
Cato-mocus	Cato-mocus	0ATOMOKUS	diacl	-	-
sukko-	sukko-	SUKKO	diacl	-	-
Banuus	Banws	0ANWS	diacl	-	-
Caliaga	Caliaga	0ALIAGA	diacl	-	-
Iaros	Iaros	0AROS	diacl	-	-
Cuno-pennus	Cuno-pennus	0UNOPENNUS	diacl	-	-
cuno	cuno	KUNO	diacl	-	-
Cattos	Cattos	0ATTOS	diacl	-	-
biko-	biko-	BIKO	diacl	-	-
Artio	Artio	0RTIO	diacl	-	-
art-	art-	ART	diacl	-	-
louernos	loːernos	LOERNOS	diacl	-	-
Branodunum	Branodunum	0RANODUNUM	diacl	-	-
Caruus	Carws	0ARWS	diacl	-	-
caru-	caru-	KARU	diacl	-	-
Elantia	Elantia	0LANTIA	diacl	-	-
íorkos	íorkos	ORKOS	diacl	-	-
Medu-genos	Medu-genos	0EDUGENOS	diacl	-	-
Cicollus	Cicollus	0IKOLLUS	diacl	-	-
olca	olca	OLKA	diacl	-	-
